"pwsid","a_int.dwater","pw_ext_pop.disability"
"ME0092150",0,24
"ME0092155",NA,NA
"ME0092160",NA,16
"ME0092165",2,7
"ME0092190",0,2
"ME0092250",0,10
"ME0092260",0,7
"ME0092270",1,1
"ME0092285",0,23
"ME0092287",1,12
"ME0092288",0,9
"ME0092291",NA,0
"ME0092293",3,10
"ME0092296",1,7
"ME0092298",0,9
"ME0092299",NA,3
"ME0092303",0,1
"ME0092305",0,46
"ME0092308",0,6
"ME0092323",0,59
"ME0092335",0,4
"ME0092338",NA,0
"ME0092339",6,7
"ME0092361",0,5
"ME0092363",0,7
"ME0092365",3,50
"ME0092371",NA,37
"ME0092388",0,6
"ME0092428",0,2
"ME0092475",0,7
"ME0092708",0,3
"ME0092722",0,NA
"ME0092727",0,25
"ME0093806",4,NA
"ME0094534",1,5
"ME0094694",0,1
"ME0094847",0,3
"ME0095010",NA,2
"ME0095020",1,8
"ME0095090",1,6
"ME0095510",0,NA
"ME0095525",2,4
"ME0095530",0,5
"ME0095550",1,4
"ME0095560",0,0
"ME0095585",1,4
"ME0095600",NA,3
"ME0095610",1,80
"ME0095640",0,6
"ME0095650",0,2
"ME0095655",NA,0
"ME0095656",0,2
"ME0095659",0,1
"ME0095660",8,2
"ME0095663",1,2
"ME0095679",1,4
"ME0095685",1,1
"ME0098560",1,2
"ME0103660",0,2
"055293101",0,67
"055293201",NA,135
"055293302",1,27
"055293304",0,29
"055293401",0,4
"055293501",NA,24
"055293502",NA,3
"055293504",NA,51
"055293601",0,5
"055293603",NA,16
"055293611",0,16
"055293702",NA,2
"055293801",NA,0
"055293901",0,9
"MI0000011",0,NA
"MI0000012",3,525
"MI0000020",1,47
"MI0000030",0,90
"MI0000040",0,3638
"MI0000048",0,9
"MI0000050",0,32
"MI0000070",NA,51
"MI0000082",0,31
"MI0000088",0,1
"MI0000090",0,3
"MI0000100",2,1143
"MI0000110",NA,960
"MI0000120",NA,596
"MI0000125",0,2
"MI0000127",NA,1848
"MI0000130",NA,4411
"MI0000140",NA,1838
"MI0000150",NA,407
"MI0000160",NA,3217
"MI0000170",0,16
"MI0000180",2,30
"MI0000200",1,15
"MI0000210",0,172
"MI0000215",NA,30
"MI0000220",NA,9226
"MI0000221",0,11
"MI0000236",NA,40
"MI0000240",5,185
"MI0000245",0,574
"MI0000250",NA,51
"MI0000260",0,143
"MI0000280",0,179
"MI0000285",0,17
"MI0000290",0,85
"MI0000300",1,351
"MI0000320",0,108
"MI0000321",0,25
"MI0000322",1,25
"MI0000324",0,50
"MI0000325",NA,6576
"MI0000340",NA,472
"MI0000350",0,216
"MI0000355",0,13
"MI0000370",0,88
"MI0000380",NA,297
"MI0000390",0,628
"MI0000400",0,1624
"MI0000410",10,176
"MI0000420",0,106
"MI0000426",NA,9
"MI0000430",0,2
"MI0000440",0,33
"MI0000450",NA,8159
"MI0000470",0,8017
"MI0000485",0,17
"MI0000487",1,0
"MI0000490",0,57
"MI0000505",NA,58
"MI0000508",0,33
"MI0000510",0,75
"MI0000514",NA,17
"MI0000520",0,209
"MI0000540",0,2397
"MI0000550",1,5
"MI0000560",1,1017
"MI0000570",NA,187
"MI0000580",0,758
"MI0000590",2,208
"MI0000600",NA,2181
"MI0000605",0,116
"MI0000610",0,109
"MI0000620",0,18
"MI0000630",NA,366
"MI0000635",NA,674
"MI0000650",1,304
"MI0000660",0,192
"MI0000680",NA,77
"MI0000690",0,794
"MI0000700",0,9
"MI0000705",0,144
"MI0000710",5,1209
"MI0000715",0,205
"MI0000716",0,2
"MI0000720",0,95
"MI0000722",NA,260
"MI0000725",NA,16
"MI0000730",9,1408
"MI0000731",5,1
"MI0000740",NA,1336
"MI0000743",NA,112
"MI0000750",0,427
"MI0000775",1,422
"MI0000790",0,4919
"MI0000794",0,12
"MI0000796",1,46
"MI0000798",0,196
"MI0000799",0,2
"MI0000800",4,486
"MI0000810",1,67
"MI0000813",0,20
"MI0000815",2,12
"MI0000820",NA,202
"MI0000838",0,17
"MI0000840",0,1623
"MI0000850",NA,404
"MI0000860",NA,2343
"MI0000877",NA,22
"MI0000880",0,30
"MI0000890",0,70
"MI0000894",0,106
"MI0000910",0,326
"MI0000920",1,104
"MI0000930",2,176
"MI0000940",NA,5030
"MI0000960",NA,584
"MI0000970",0,53
"MI0000980",2,1475
"MI0001000",NA,74
"MI0001002",NA,242
"MI0001008",NA,197
"MI0001010",NA,4678
"MI0001019",0,10
"MI0001020",NA,70
"MI0001023",NA,4536
"MI0001030",NA,2011
"MI0001039",NA,282
"MI0001040",0,242
"MI0001046",0,4
"MI0001050",0,62
"MI0001052",0,29
"MI0001073",0,8
"MI0001100",NA,8463
"MI0001110",2,345
"MI0001125",0,16
"MI0001130",NA,1060
"MI0001160",0,999
"MI0001170",0,140
"MI0001180",NA,85
"MI0001190",0,22
"MI0001195",0,94
"MI0001210",0,111
"MI0001220",NA,445
"MI0001230",0,173
"MI0001250",0,240
"MI0001252",0,56
"MI0001260",0,589
"MI0001290",NA,7
"MI0001300",NA,152
"MI0001310",0,211
"MI0001330",NA,479
"MI0001335",0,130
"MI0001340",0,1473
"MI0001350",0,89
"MI0001352",0,6
"MI0001355",0,18
"MI0001360",NA,761
"MI0001370",NA,693
"MI0001380",0,552
"MI0001390",NA,5070
"MI0001400",0,382
"MI0001416",0,14
"MI0001420",0,668
"MI0001440",0,1122
"MI0001450",NA,530
"MI0001460",0,34
"MI0001465",0,74
"MI0001470",6,332
"MI0001480",NA,15012
"MI0001490",NA,620
"MI0001493",0,78
"MI0001500",0,1888
"MI0001520",NA,200
"MI0001530",NA,419
"MI0001540",0,132
"MI0001543",0,71
"MI0001545",0,3
"MI0001552",0,19
"MI0001565",0,70
"MI0001570",0,102
"MI0001573",0,2931
"MI0001580",0,114
"MI0001600",1,347
"MI0001610",NA,561
"MI0001620",0,34
"MI0001630",2,12
"MI0001631",1,3
"MI0001640",0,408
"MI0001643",0,7
"MI0001648",0,23
"MI0001649",NA,2
"MI0001650",NA,159
"MI0001653",NA,0
"MI0001655",1,9
"MI0001657",0,52
"MI0001658",NA,88
"MI0001661",0,26
"MI0001663",0,7
"MI0001664",0,23
"MI0001666",NA,50
"MI0001690",NA,403
"MI0001692",0,16
"MI0001700",0,385
"MI0001715",0,4
"MI0001716",0,24
"MI0001718",0,40
"MI0001720",NA,1237
"MI0001730",NA,12179
"MI0001740",NA,9142
"MI0001750",0,306
"MI0001760",NA,168
"MI0001765",0,53
"MI0001768",NA,197
"MI0001770",1,69
"MI0001773",0,159
"MI0001774",0,2
"MI0001790",0,2233
"MI0001795",0,25
"MI0001800",NA,108235
"MI0001810",NA,432
"MI0001820",4,10
"MI0001840",0,65
"MI0001845",0,61
"MI0001860",NA,1142
"MI0001865",1,13
"MI0001870",0,105
"MI0001880",0,710
"MI0001900",0,818
"MI0001910",2,5
"MI0001915",0,50
"MI0001920",2,5
"MI0001925",1,14
"MI0001930",0,7
"MI0001935",0,295
"MI0001950",NA,5091
"MI0001960",0,1389
"MI0001970",0,271
"MI0001980",0,131
"MI0001990",NA,5334
"MI0002010",0,602
"MI0002020",NA,1037
"MI0002025",0,20
"MI0002030",1,84
"MI0002050",0,8
"MI0002070",0,227
"MI0002077",0,184
"MI0002080",0,45
"MI0002090",0,148
"MI0002100",NA,127
"MI0002110",NA,38
"MI0002115",0,13
"MI0002120",NA,175
"MI0002125",0,118
"MI0002130",0,43
"MI0002145",0,26
"MI0002170",NA,2869
"MI0002180",0,552
"MI0002190",NA,418
"MI0002200",0,52
"MI0002212",0,16
"MI0002215",1,18
"MI0002230",0,9
"MI0002240",NA,9393
"MI0002250",0,126
"MI0002260",0,159
"MI0002270",NA,2834
"MI0002277",0,82
"MI0002280",NA,1914
"MI0002285",1,323
"MI0002287",0,62
"MI0002290",1,105
"MI0002292",1,10
"MI0002300",NA,1202
"MI0002310",NA,19209
"MI0002340",NA,2068
"MI0002347",NA,96
"MI0002350",NA,3
"MI0002356",0,2
"MI0002360",0,12
"MI0002370",NA,400
"MI0002385",NA,1034
"MI0002390",0,111
"MI0002400",0,556
"MI0002403",2,3
"MI0002410",0,6
"MI0002420",0,617
"MI0002425",0,3
"MI0002430",0,298
"MI0002450",0,116
"MI0002460",0,2005
"MI0002470",0,374
"MI0002480",2,46
"MI0002490",1,919
"MI0002500",NA,1444
"MI0002507",0,945
"MI0002510",0,41
"MI0002520",NA,45
"MI0002530",0,254
"MI0002540",2,35
"MI0002550",0,4232
"MI0002565",1,1070
"MI0002568",0,3
"MI0002590",2,6
"MI0002600",NA,894
"MI0002615",NA,7555
"MI0002617",NA,13
"MI0002619",NA,31
"MI0002620",NA,5359
"MI0002625",0,8
"MI0002630",0,883
"MI0002640",NA,482
"MI0002650",1,665
"MI0002654",0,19
"MI0002655",0,5
"MI0002656",NA,12
"MI0002657",4,17
"MI0002659",0,4
"MI0002680",NA,133
"MI0002730",0,30
"MI0002740",NA,3594
"MI0002745",NA,3101
"MI0002750",2,1760
"MI0002760",4,1500
"MI0002770",NA,1474
"MI0002780",0,36
"MI0002785",1,64
"MI0002790",NA,30973
"MI0002805",4,9
"MI0002809",4,2
"MI0002820",0,1143
"MI0002823",0,176
"MI0002830",2,81
"MI0002837",1,0
"MI0002839",0,13
"MI0002840",NA,466
"MI0002846",1,128
"MI0002850",0,1488
"MI0002860",1,11
"MI0002870",1,1199
"MI0002880",1,16
"MI0002890",0,1085
"MI0002900",5,679
"MI0002910",1,215
"MI0002920",0,1686
"MI0002925",0,81
"MI0002940",1,12
"MI0002944",0,34
"MI0002945",0,10
"MI0002960",0,1555
"MI0002970",NA,2558
"MI0002980",0,484
"MI0002982",NA,183
"MI0003000",NA,309
"MI0003001",0,91
"MI0003010",0,201
"MI0003015",0,13
"MI0003018",0,31
"MI0003020",NA,3568
"MI0003030",NA,540
"MI0003040",NA,2303
"MI0003050",0,145
"MI0003060",0,484
"MI0003070",NA,517
"MI0003075",NA,491
"MI0003080",0,52
"MI0003090",NA,1169
"MI0003100",0,2976
"MI0003110",0,169
"MI0003115",3,4
"MI0003117",0,9
"MI0003118",0,20
"MI0003120",13,13
"MI0003130",1,238
"MI0003131",2,77
"MI0003132",0,5
"MI0003134",0,2
"MI0003137",1,22
"MI0003138",0,25
"MI0003140",NA,2434
"MI0003145",0,17
"MI0003160",NA,125
"MI0003165",1,1
"MI0003170",0,1372
"MI0003175",0,23
"MI0003190",0,3152
"MI0003195",NA,8214
"MI0003200",NA,1593
"MI0003220",0,187
"MI0003223",0,19
"MI0003225",6,3
"MI0003229",3,5
"MI0003230",2,566
"MI0003237",NA,178
"MI0003238",0,254
"MI0003240",0,182
"MI0003250",NA,1264
"MI0003270",0,201
"MI0003280",NA,405
"MI0003290",NA,739
"MI0003310",NA,320
"MI0003312",NA,543
"MI0003315",0,19
"MI0003317",0,113
"MI0003319",0,46
"MI0003320",0,1108
"MI0003323",0,4
"MI0003330",1,65
"MI0003340",5,544
"MI0003342",NA,2378
"MI0003350",0,NA
"MI0003360",0,5307
"MI0003362",1,13
"MI0003365",0,66
"MI0003370",NA,1500
"MI0003390",NA,565
"MI0003400",0,1176
"MI0003410",1,544
"MI0003420",0,998
"MI0003430",0,38
"MI0003435",NA,42
"MI0003440",0,1099
"MI0003450",0,349
"MI0003460",NA,351
"MI0003470",0,6247
"MI0003474",0,97
"MI0003475",0,144
"MI0003490",0,277
"MI0003505",NA,18
"MI0003510",NA,696
"MI0003520",0,6555
"MI0003525",0,266
"MI0003545",0,5
"MI0003550",NA,83
"MI0003560",0,509
"MI0003563",1,132
"MI0003570",0,73
"MI0003595",0,437
"MI0003598",1,8
"MI0003615",0,70
"MI0003620",0,4211
"MI0003628",0,237
"MI0003630",NA,696
"MI0003640",0,881
"MI0003650",0,194
"MI0003660",0,69
"MI0003666",0,2
"MI0003667",0,62
"MI0003670",1,390
"MI0003685",0,0
"MI0003690",0,105
"MI0003692",0,14
"MI0003693",1,9
"MI0003695",NA,146
"MI0003696",1,5
"MI0003700",NA,200
"MI0003720",NA,280
"MI0003726",NA,3529
"MI0003730",0,338
"MI0003737",NA,24
"MI0003740",0,479
"MI0003741",1,76
"MI0003742",0,5
"MI0003744",0,18
"MI0003747",0,0
"MI0003749",1,377
"MI0003750",NA,194
"MI0003751",1,19
"MI0003752",0,27
"MI0003753",1,7
"MI0003755",NA,41
"MI0003760",NA,25584
"MI0003770",NA,830
"MI0003780",NA,2027
"MI0003794",0,26
"MI0003800",0,456
"MI0003810",0,283
"MI0003820",1,114
"MI0003830",NA,271
"MI0003831",0,17
"MI0003837",NA,163
"MI0003840",1,273
"MI0003850",NA,310
"MI0003856",1,217
"MI0003857",NA,3
"MI0003868",0,80
"MI0003870",NA,6313
"MI0003880",0,7
"MI0003890",0,420
"MI0003910",0,105
"MI0003920",0,137
"MI0003925",1,81
"MI0003927",0,26
"MI0003929",NA,387
"MI0003930",NA,11913
"MI0003940",0,75
"MI0003943",0,28
"MI0003946",2,107
"MI0003947",NA,12
"MI0003950",NA,562
"MI0003955",NA,0
"MI0003960",0,1563
"MI0003967",0,82
"MI0003968",NA,937
"MI0003970",1,81
"MI0003980",0,91
"MI0003990",NA,8135
"MI0004000",NA,4443
"MI0004006",NA,221
"MI0004010",NA,384
"MI0004020",0,190
"MI0004030",NA,1292
"MI0004040",NA,760
"MI0004042",0,NA
"MI0004045",0,36
"MI0004050",0,148
"MI0004053",0,89
"MI0004060",1,87
"MI0004063",1,5
"MI0004069",0,5
"MI0004070",NA,164
"MI0004080",0,14
"MI0004090",0,891
"MI0004095",0,7
"MI0004098",NA,104
"MI0004100",1,158
"MI0004110",0,362
"MI0004120",NA,2327
"MI0004140",0,245
"MI0004150",NA,789
"MI0004152",NA,5
"MI0004155",NA,16
"MI0004158",0,6
"MI0004160",NA,1354
"MI0004170",4,1244
"MI0004173",0,23
"MI0004177",0,388
"MI0004180",NA,127
"MI0004190",0,109
"MI0004215",0,17
"MI0004220",NA,1914
"MI0004230",0,153
"MI0004240",2,150
"MI0004250",0,1453
"MI0004260",NA,3810
"MI0004276",0,106
"MI0004310",NA,59
"MI0004312",0,51
"MI0004340",0,25
"MI0004360",NA,385
"MI0004370",NA,6116
"MI0004375",NA,547
"MI0004377",NA,25
"MI0004380",NA,839
"MI0004390",NA,1126
"MI0004397",0,21
"MI0004400",0,215
"MI0004403",0,98
"MI0004410",1,19
"MI0004419",NA,13
"MI0004428",0,60
"MI0004440",0,52
"MI0004450",NA,7221
"MI0004455",NA,3936
"MI0004470",0,358
"MI0004480",NA,417
"MI0004490",0,352
"MI0004510",NA,2057
"MI0004520",0,628
"MI0004530",NA,3270
"MI0004550",0,79
"MI0004560",0,276
"MI0004570",0,6852
"MI0004580",1,1880
"MI0004590",0,106
"MI0004595",0,57
"MI0004596",0,7
"MI0004600",0,1
"MI0004605",0,31
"MI0004610",1,0
"MI0004620",0,188
"MI0004640",1,31
"MI0004647",NA,9
"MI0004650",2,547
"MI0004655",0,67
"MI0004670",0,1810
"MI0004680",0,43
"MI0004685",0,204
"MI0004690",0,895
"MI0004700",0,76
"MI0004710",NA,421
"MI0004720",NA,306
"MI0004730",3,35
"MI0004740",NA,2925
"MI0004750",0,521
"MI0004753",0,0
"MI0004754",0,2
"MI0004760",0,20
"MI0004770",0,197
"MI0004775",0,4
"MI0004780",NA,982
"MI0004800",0,158
"MI0004810",0,50
"MI0004820",0,1
"MI0004830",0,347
"MI0004845",NA,4185
"MI0004847",2,15
"MI0004850",0,2728
"MI0004860",NA,488
"MI0004870",NA,4322
"MI0004873",NA,0
"MI0004874",1,80
"MI0004876",0,18
"MI0004877",0,170
"MI0004878",NA,324
"MI0004880",NA,4504
"MI0004890",NA,22
"MI0004935",0,297
"MI0004989",NA,16
"MI0004990",0,209
"MI0005005",6,26
"MI0005010",0,188
"MI0005020",0,124
"MI0005030",1,175
"MI0005031",0,217
"MI0005033",0,3
"MI0005034",2,60
"MI0005035",NA,1201
"MI0005037",0,0
"MI0005039",1,22
"MI0005040",0,877
"MI0005050",0,55
"MI0005060",NA,603
"MI0005065",0,60
"MI0005100",0,298
"MI0005110",0,33
"MI0005120",NA,2885
"MI0005130",NA,553
"MI0005136",NA,40
"MI0005138",NA,983
"MI0005160",9,56
"MI0005180",0,37
"MI0005203",0,9
"MI0005204",0,43
"MI0005205",0,16
"MI0005209",NA,24
"MI0005210",NA,514
"MI0005220",0,79
"MI0005229",0,20
"MI0005232",0,NA
"MI0005233",NA,78
"MI0005234",NA,66
"MI0005235",0,95
"MI0005240",NA,23
"MI0005260",0,114
"MI0005267",0,48
"MI0005268",0,1
"MI0005270",0,34
"MI0005280",0,238
"MI0005290",NA,123
"MI0005300",NA,926
"MI0005305",0,2
"MI0005310",0,55
"MI0005315",0,77
"MI0005320",0,209
"MI0005322",NA,324
"MI0005330",2,157
"MI0005335",0,23
"MI0005345",0,5
"MI0005349",2,12
"MI0005351",NA,8
"MI0005355",NA,7
"MI0005360",NA,2633
"MI0005370",NA,4685
"MI0005380",0,461
"MI0005390",NA,279
"MI0005395",3,139
"MI0005397",0,20
"MI0005400",NA,728
"MI0005420",0,2467
"MI0005425",0,6
"MI0005430",0,1
"MI0005440",NA,12546
"MI0005445",1,8
"MI0005450",NA,2996
"MI0005460",0,107
"MI0005475",NA,46
"MI0005480",NA,7828
"MI0005490",0,1057
"MI0005500",0,122
"MI0005520",0,4791
"MI0005527",0,2
"MI0005530",0,451
"MI0005540",0,1
"MI0005543",0,7
"MI0005549",0,18
"MI0005550",NA,523
"MI0005563",1,71
"MI0005570",0,63
"MI0005573",0,80
"MI0005575",NA,110
"MI0005577",0,4
"MI0005580",0,170
"MI0005585",0,9
"MI0005590",0,173
"MI0005600",1,47
"MI0005606",0,41
"MI0005607",NA,5
"MI0005610",1,139
"MI0005620",0,138
"MI0005640",NA,7243
"MI0005650",0,537
"MI0005655",1,50
"MI0005660",0,73
"MI0005670",1,720
"MI0005675",0,0
"MI0005680",0,6
"MI0005690",NA,720
"MI0005692",0,3
"MI0005710",0,1479
"MI0005712",0,8
"MI0005720",0,598
"MI0005723",0,462
"MI0005730",NA,740
"MI0005740",1,28
"MI0005750",0,333
"MI0005760",1,22
"MI0005770",0,457
"MI0005775",0,23
"MI0005780",NA,936
"MI0005785",NA,2852
"MI0005800",0,646
"MI0005810",NA,193
"MI0005815",2,76
"MI0005819",0,1
"MI0005820",NA,9697
"MI0005821",0,18
"MI0005823",0,2
"MI0005824",0,11
"MI0005830",NA,5617
"MI0005840",NA,376
"MI0005841",1,39
"MI0005844",1,31
"MI0005849",0,4
"MI0005850",0,10915
"MI0005860",2,7119
"MI0005900",NA,1719
"MI0005901",0,11
"MI0005903",NA,0
"MI0005905",0,123
"MI0005907",0,62
"MI0005911",0,4
"MI0005920",NA,552
"MI0005925",0,209
"MI0005930",0,168
"MI0005950",0,2160
"MI0005970",0,170
"MI0005977",0,666
"MI0005980",0,192
"MI0005990",NA,264
"MI0005991",0,1
"MI0005993",0,33
"MI0005995",0,14
"MI0006000",0,238
"MI0006010",NA,10218
"MI0006025",0,24
"MI0006030",0,199
"MI0006040",0,118
"MI0006042",20,16
"MI0006070",0,16
"MI0006071",0,19
"MI0006073",NA,95
"MI0006074",NA,11
"MI0006075",0,1
"MI0006077",0,77
"MI0006080",0,56
"MI0006081",3,1
"MI0006090",1,1
"MI0006101",NA,757
"MI0006110",1,2229
"MI0006115",0,19
"MI0006116",0,10
"MI0006117",NA,31
"MI0006120",1,81
"MI0006130",0,162
"MI0006160",NA,11908
"MI0006170",NA,4934
"MI0006200",0,798
"MI0006210",NA,358
"MI0006227",0,385
"MI0006230",1,7
"MI0006232",0,2
"MI0006235",1,1280
"MI0006240",0,851
"MI0006243",0,42
"MI0006250",0,115
"MI0006260",NA,444
"MI0006270",NA,1280
"MI0006280",NA,8706
"MI0006282",0,9
"MI0006284",NA,410
"MI0006290",NA,538
"MI0006300",0,1057
"MI0006310",0,520
"MI0006320",NA,513
"MI0006350",0,283
"MI0006360",0,225
"MI0006370",0,6
"MI0006375",0,12
"MI0006377",1,42
"MI0006380",0,123
"MI0006385",NA,18079
"MI0006420",0,204
"MI0006423",0,106
"MI0006428",0,4
"MI0006435",0,11
"MI0006440",NA,2100
"MI0006443",1,3
"MI0006446",0,19
"MI0006448",0,3
"MI0006450",NA,1595
"MI0006460",NA,812
"MI0006465",0,13
"MI0006470",0,84
"MI0006480",0,27
"MI0006484",0,15
"MI0006485",NA,0
"MI0006487",0,11
"MI0006490",NA,199
"MI0006500",0,69
"MI0006502",NA,125
"MI0006505",NA,1236
"MI0006508",0,0
"MI0006530",0,296
"MI0006531",NA,19
"MI0006532",0,24
"MI0006537",0,1
"MI0006540",NA,310
"MI0006545",NA,9621
"MI0006552",0,16
"MI0006560",0,1023
"MI0006562",0,81
"MI0006574",2,34
"MI0006575",0,24
"MI0006580",0,1456
"MI0006590",0,57
"MI0006592",0,2
"MI0006594",0,118
"MI0006600",0,158
"MI0006610",NA,1411
"MI0006624",0,42
"MI0006625",1,48
"MI0006627",0,4
"MI0006630",0,1
"MI0006631",0,65
"MI0006640",0,2546
"MI0006647",2,0
"MI0006650",NA,3019
"MI0006680",0,5
"MI0006682",0,2
"MI0006690",NA,7442
"MI0006693",1,4
"MI0006696",0,12
"MI0006710",2,89
"MI0006720",NA,301
"MI0006725",0,313
"MI0006730",0,70
"MI0006760",NA,984
"MI0006763",0,33
"MI0006765",0,12
"MI0006770",NA,1691
"MI0006773",0,8
"MI0006780",NA,531
"MI0006790",1,109
"MI0006792",0,23
"MI0006800",0,382
"MI0006803",0,3
"MI0006830",1,266
"MI0006850",1,72
"MI0006875",0,1024
"MI0006880",0,10
"MI0006885",0,NA
"MI0006900",NA,22551
"MI0006905",NA,2527
"MI0006910",NA,9406
"MI0006920",0,28
"MI0006930",35,432
"MI0006935",NA,21
"MI0006940",NA,433
"MI0006950",NA,3164
"MI0006970",0,107
"MI0006971",NA,9
"MI0006975",0,4775
"MI0007010",0,480
"MI0007012",0,3
"MI0007015",0,5
"MI0007035",0,96
"MI0007040",0,14971
"MI0007050",NA,101
"MI0007060",1,282
"MI0007061",0,5
"MI0007063",0,54
"MI0007065",1,2049
"MI0007070",1,270
"MI0007085",0,63
"MI0007099",0,56
"MI0007100",0,483
"MI0007103",0,16
"MI0007104",0,50
"MI0007105",3,3
"MI0007120",NA,565
"MI0007135",NA,1696
"MI0007150",0,447
"MI0007160",0,32
"MI0007180",NA,1210
"MI0007210",NA,4142
"MI0007217",0,27
"MI0007220",NA,9445
"MI0007230",0,340
"MI0007231",NA,237
"MI0007233",0,5
"MI0007240",0,NA
"MI0007260",NA,9937
"MI0007270",0,619
"MI0007280",0,392
"MI0040001",0,NA
"MI0040002",0,6
"MI0040005",0,5
"MI0040006",0,8
"MI0040007",0,3
"MI0040008",0,13
"MI0040011",0,92
"MI0040013",0,5
"MI0040014",0,7
"MI0040016",0,1
"MI0040020",0,3
"MI0040021",0,1
"MI0040023",1,28
"MI0040025",0,4
"MI0040026",0,9
"MI0040027",0,2
"MI0040028",0,7
"MI0040030",0,20
"MI0040034",0,17
"MI0040039",1,6
"MI0040041",0,9
"MI0040042",1,14
"MI0040044",0,3
"MI0040045",0,1
"MI0040047",0,36
"MI0040051",0,34
"MI0040057",0,35
"MI0040060",0,9
"MI0040061",0,40
"MI0040062",5,46
"MI0040065",0,6
"MI0040067",0,16
"MI0040068",0,4
"MI0040069",1,4
"MI0040070",0,3
"MI0040071",3,2
"MI0040074",0,21
"MI0040076",0,0
"MI0040079",0,145
"MI0040080",0,211
"MI0040081",0,4
"MI0040082",0,5
"MI0040084",0,16
"MI0040086",0,15
"MI0040090",0,13
"MI0040091",0,19
"MI0040093",0,16
"MI0040094",0,16
"MI0040098",0,14
"MI0040100",0,13
"MI0040103",0,31
"MI0040104",0,7
"MI0040105",0,1
"MI0040106",0,16
"MI0040108",0,12
"MI0040110",0,14
"MI0040116",0,29
"MI0040119",0,11
"MI0040122",2,23
"MI0040123",0,38
"MI0040124",1,79
"MI0040126",2,38
"MI0040128",0,26
"MI0040129",0,7
"MI0040131",1,3
"MI0040138",0,36
"MI0040140",0,4
"MI0040144",0,7
"MI0040145",0,19
"MI0040154",0,5
"MI0040155",0,114
"MI0040156",0,5
"MI0040158",0,109
"MI0040162",1,14
"MI0040164",0,77
"MI0040166",0,17
"MI0040167",NA,6
"MI0040168",0,18
"MI0040169",0,4
"MI0040171",0,610
"MI0040172",0,181
"MI0040174",0,NA
"MI0040175",0,196
"MI0040176",0,79
"MI0040180",5,3
"MI0040181",1,1
"MI0040183",0,5
"MI0040184",NA,196
"MI0040187",0,2
"MI0040190",0,9
"MI0040194",1,37
"MI0040197",0,15
"MI0040199",0,11
"MI0040200",0,NA
"MI0040203",1,164
"MI0040206",0,13
"MI0040208",0,8
"MI0040209",0,20
"MI0040210",1,23
"MI0040217",0,3
"MI0040218",0,37
"MI0040219",NA,45
"MI0040220",1,13
"MI0040222",1,5
"MI0040223",6,31
"MI0040225",0,9
"MI0040226",0,12
"MI0040230",0,38
"MI0040231",0,37
"MI0040233",0,45
"MI0040240",0,15
"MI0040242",0,58
"MI0040246",0,59
"MI0040248",0,9
"MI0040250",0,5
"MI0040253",0,21
"MI0040255",0,48
"MI0040256",0,170
"MI0040259",2,24
"MI0040264",0,22
"MI0040266",0,2
"MI0040273",NA,9
"MI0040276",0,252
"MI0040277",0,43
"MI0040279",NA,22
"MI0040284",1,20
"MI0040288",0,23
"MI0040292",0,4
"MI0040294",0,40
"MI0040296",4,15
"MI0040299",1,51
"MI0040305",NA,2
"MI0040306",0,0
"MI0040307",0,22
"MI0040308",0,17
"MI0040310",0,3
"MI0040311",0,31
"MI0040314",2,99
"MI0040316",0,6
"MI0040317",0,32
"MI0040318",0,56
"MI0040319",0,19
"MI0040322",0,NA
"MI0040323",0,7
"MI0040325",0,6
"MI0040326",0,5
"MI0040327",0,60
"MI0040330",0,8
"MI0040333",0,2
"MI0040335",0,11
"MI0040337",1,45
"MI0040340",0,14
"MI0040342",0,NA
"MI0040343",0,10
"MI0040344",0,2
"MI0040345",0,10
"MI0040351",0,NA
"MI0040352",0,NA
"MI0040355",0,217
"MI0040356",0,107
"MI0040357",0,49
"MI0040359",0,38
"MI0040361",0,31
"MI0040363",NA,111
"MI0040368",0,32
"MI0040369",NA,18
"MI0040370",0,3
"MI0040375",NA,448
"MI0040376",0,217
"MI0040377",0,322
"MI0040379",2,37
"MI0040382",0,49
"MI0040384",0,39
"MI0040386",0,73
"MI0040387",0,443
"MI0040388",0,11
"MI0040391",0,111
"MI0040397",0,182
"MI0040399",0,66
"MI0040404",0,44
"MI0040405",0,24
"MI0040406",0,9
"MI0040410",0,0
"MI0040414",1,12
"MI0040416",0,12
"MI0040417",2,58
"MI0040418",0,30
"MI0040419",0,NA
"MI0040426",0,83
"MI0040432",0,NA
"MI0040435",0,5
"MI0040438",0,22
"MI0040441",0,7
"MI0040443",2,22
"MI0040446",0,15
"MI0040447",1,95
"MI0040448",0,17
"MI0040449",0,17
"MI0040450",0,7
"MI0040451",1,32
"MI0040453",2,14
"MI0040454",NA,1
"MI0040455",1,3
"MI0040456",0,11
"MI0040457",0,37
"MI0040458",1,3
"MI0040464",0,46
"MI0040466",0,3
"MI0040469",0,11
"MI0040470",0,37
"MI0040471",0,25
"MI0040472",4,13
"MI0040476",5,1
"MI0040477",1,8
"MI0040480",0,27
"MI0040482",0,44
"MI0040484",1,12
"MI0040488",0,11
"MI0040491",0,20
"MI0040494",10,2
"MI0040495",0,9
"MI0040496",0,5
"MI0040497",0,1
"MI0040498",0,1
"MI0040501",1,25
"MI0040503",0,56
"MI0040515",0,27
"MI0040516",0,77
"MI0040519",0,10
"MI0040525",0,45
