"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"AZ0409003",0.52,6,60.51
"AZ0409004",1,3,39.2
"AZ0409005",1,0,16
"AZ0409009",1,4,72
"AZ0409013",0,7,39
"AZ0409014",1,5,72
"AZ0409015",1,20,82.06
"AZ0409016",1,15,4
"AZ0409017",0,7,39
"AZ0409018",0,3,31
"AZ0409021",0.12,6,36.15
"AZ0409023",0.01,3,31
"AZ0409024",1,6,44
"AZ0409026",0.73,3,41.72
"AZ0409028",1,6,44
"AZ0409029",1,8,60.36
"AZ0409030",0,7,39
"AZ0409031",1,11,48.27
"AZ0409032",1,9,68
"AZ0409034",1,6,44
"AZ0409035",1,35,72.13
"AZ0409036",0,6,NA
"AZ0409039",1,4,39.15
"AZ0409040",1,4,72
"AZ0409041",1,4,72
"AZ0409046",1,15,4
"AZ0409049",1,6,44
"AZ0409050",1,13,45.09
"AZ0409060",0,6,NA
"AZ0409074",1,0,16
"AZ0409075",1,6,44
"AZ0409086",1,NA,NA
"AZ0409090",1,0,18.42
"AZ0409091",1,11,47
"AZ0409300",0,7,39
"AZ0409305",1,5,NA
"AZ0409311",0,1,54
"AZ0409316",1,7,73
"AZ0409329",1,5,NA
"AZ0409330",1,0,16
"AZ0409343",1,13,69
"AZ0410001",0,NA,NA
"AZ0410002",1,5,25
"AZ0410003",0,NA,NA
"AZ0410004",0.15,2,30.14
"AZ0410006",0.47,1,71.02
"AZ0410007",0.05,2,65.12
"AZ0410008",0,NA,NA
"AZ0410011",1,NA,NA
"AZ0410035",0,NA,NA
"AZ0410041",0,2,19.24
"AZ0410046",1,1,76.72
"AZ0410047",1,5,NA
"AZ0410048",0.28,1,19.72
"AZ0410049",0,0,15.2
"AZ0410051",0.8,13,71.25
"AZ0410057",0,3,72
"AZ0410058",0,3,72
"AZ0410060",0,0,7.54
"AZ0410063",0.85,5,25
"AZ0410064",0,4,17
"AZ0410065",0,0,9
"AZ0410070",1,1,80
"AZ0410074",0,2,37.48
"AZ0410076",0.08,3,39.46
"AZ0410092",0,0,36.9
"AZ0410093",1,1,66
"AZ0410095",0.78,6,70.23
"AZ0410098",0,2,35
"AZ0410101",0,7,75
"AZ0410112",0.26,18,54.2
"AZ0410117",1,1,76.77
"AZ0410118",0,NA,NA
"AZ0410119",0,56,87
"AZ0410123",0,NA,NA
"AZ0410127",0,1,34.26
"AZ0410128",0.03,0,7
"AZ0410132",1,1,75
"AZ0410136",1,1,66
"AZ0410138",0,2,35
"AZ0410139",1,1,80
"AZ0410140",0,9,14.22
"AZ0410142",1,1,66
"AZ0410144",0,1,24
"AZ0410150",0.05,2,40.11
"AZ0410152",0,3,22
"AZ0410153",0,NA,NA
"AZ0410154",0,NA,NA
"AZ0410157",0,0,21.04
"AZ0410158",1,1,77
"AZ0410159",1,1,77
"AZ0410162",0,2,64
"AZ0410164",0.03,1,14.5
"AZ0410169",0,1,4.98
"AZ0410171",0.88,1,59
"AZ0410173",1,1,80
"AZ0410175",0,0,42.75
"AZ0410177",0,0,40.53
"AZ0410178",1,1,77
"AZ0410179",0,1,24
"AZ0410187",0,NA,NA
"AZ0410188",1,1,77
"AZ0410199",0,0,43
"AZ0410206",1,1,75
"AZ0410208",1,1,77
"AZ0410213",0,1,NA
"AZ0410218",0.75,1,72.33
"AZ0410219",1,47,97
"AZ0410228",1,1,75
"AZ0410242",0,0,78
"AZ0410260",0,1,5
"AZ0410262",0,0,13
"AZ0410264",1,1,77
"AZ0410265",1,1,77
"AZ0410268",1,2,7
"AZ0410269",1,NA,NA
"AZ0410270",1,1,77
"AZ0410272",1,1,66
"AZ0410278",1,1,77
"AZ0410281",0,0,43
"AZ0410282",1,1,77
"AZ0410283",1,1,77
"AZ0410286",1,1,77
"AZ0410311",0,NA,NA
"AZ0410312",0,0,30.33
"AZ0410317",1,NA,NA
"AZ0410319",1,9,18
"AZ0410329",0,0,44.76
"AZ0410350",0,NA,NA
"AZ0410351",1,1,75
"AZ0410354",1,1,66
"AZ0410357",1,0,49
"AZ0410400",0,NA,NA
"AZ0410402",0,NA,NA
"AZ0410405",0,0,43
"AZ0410408",0,NA,NA
"AZ0410409",1,9,18
"AZ0410410",1,9,18
"AZ0410411",1,1,66
"AZ0410414",0,1,5
"AZ0410435",0,NA,NA
"AZ0410445",0,0,37
"AZ0410450",1,5,25
"AZ0410481",0,NA,NA
"AZ0410701",0,NA,NA
"AZ0410810",0,0,43
"AZ0411003",1,26,57
"AZ0411004",0.05,2,50.41
"AZ0411005",0,3,74
