"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"MO4010270",0.81,26,79.49
"MO4010278",1,9,97
"MO4010279",1,50,93.5
"MO4010290",1,32,85.96
"MO4010293",0,30,4
"MO4010304",1,34,46
"MO4010322",1,13,81
"MO4010354",1,31,98.5
"MO4010370",1,22,64
"MO4010372",1,31,60
"MO4010379",0,34,78
"MO4010382",1,23,68
"MO4010402",1,40,80
"MO4010404",0,19,44.34
"MO4010417",0.97,34,93.52
"MO4010422",0.79,28,84.49
"MO4010434",1,38,75
"MO4010456",1,29,70
"MO4010467",1,16,67
"MO4010468",1,32,20
"MO4010483",1,29,98
"MO4010490",1,30,90.28
"MO4010496",1,29,98
"MO4010501",1,32,NA
"MO4010504",1,20,92
"MO4010509",1,17,33
"MO4010527",1,23,81
"MO4010531",1,21,67
"MO4010543",1,17,33
"MO4010551",1,21,94
"MO4010557",1,17,81
"MO4010570",1,19,NA
"MO4010604",0.93,33,5.44
"MO4010626",1,20,92
"MO4010636",0.45,34,48.41
"MO4010640",1,27,97
"MO4010643",1,37,80
"MO4010656",1,26,95.6
"MO4010658",1,20,94
"MO4010668",1,26,79
"MO4010670",1,17,64
"MO4010674",1,21,69
"MO4010689",1,34,46
"MO4010701",0,17,64.2
"MO4010710",0,51,57
"MO4010718",0,25,59
"MO4010721",1,36,74.69
"MO4010726",0.62,31,49.28
"MO4010729",1,28,69
"MO4010732",1,28,89
"MO4010743",0.81,19,82.1
"MO4010758",1,30,98
"MO4010777",1,22,67.65
"MO4010788",1,38,75.09
"MO4010811",1,12,63
"MO4010814",0,15,49
"MO4010821",1,15,37
"MO4010830",1,44,65
"MO4010853",1,21,86.26
"MO4010861",1,23,81
"MO4010862",1,27,74
"MO4010867",1,18,72
"MO4010876",1,25,50
"MO4010883",1,21,57.1
"MO4010924",0,32,5
"MO4010945",1,33,5
"MO4010959",1,31,99
"MO4010993",1,20,45
"MO4011123",1,37,79
"MO4011158",0,23,30
"MO4011179",0,15,49
"MO4011441",0.85,25,87.97
"MO4011491",1,17,78
"MO4020601",0.81,27,68.44
"MO4021083",0,15,49.14
"MO4021151",0.07,15,49
"MO4021164",1,25,69.42
"MO4021178",1,25,57.66
"MO4021260",0.48,NA,NA
"MO4021310",1,21,32.28
"MO4021311",1,11,88.75
"MO4021370",1,13,81.96
"MO4021376",1,17,53.14
"MO4021384",1,27,97
"MO4021447",1,22,82.64
"MO4021532",0,16,51
"MO4021566",0.13,20,44.54
"MO4021592",1,28,76.97
"MO4021610",1,17,32.69
"MO4024070",1,14,77.53
"MO4024071",1,17,63.58
"MO4024072",1,18,77.62
"MO4024096",0,19,40.08
"MO4024097",0,19,45.52
"MO4024100",0,11,51.43
"MO4024108",1,12,63
"MO4024109",1,12,63
"MO4024196",1,22,69.4
"MO4024206",1,26,81.15
"MO4024207",0.65,36,87.95
"MO4024209",1,22,64
"MO4024264",1,16,39.94
"MO4024266",1,15,51
"MO4024267",1,16,52.99
"MO4024368",1,28,84.42
"MO4024415",1,19,89.28
"MO4024416",1,28,20.1
"MO4024418",1,24,26.16
"MO4024419",1,25,73.71
"MO4024432",1,20,81
"MO4024433",1,NA,NA
"MO4024448",0.84,35,69.31
"MO4024455",0,20,23.34
"MO4024456",0,23,38
"MO4024516",1,25,45
"MO4024521",1,18,87.97
"MO4024522",1,17,81
"MO4024523",1,14,82.09
"MO4024538",1,46,84.64
"MO4024539",1,36,76.07
"MO4024543",0,18,62.76
"MO4024581",1,20,56.1
"MO4024582",0.8,28,27.45
"MO4024583",1,18,77
"MO4024584",1,24,76.98
"MO4024585",1,18,77
"MO4024586",1,22,57.2
"MO4024606",0.96,20,68.39
"MO4024607",1,22,68.21
"MO4024608",1,23,68.23
"MO4024609",1,17,66.95
"MO4024637",1,22,27
"MO4030223",0,14,21
"MO4031196",0,4,65
"MO4031203",0,10,87
"MO4031206",1,29,70
"MO4031414",0,11,45
"MO4031611",0,32,5
"MO4031614",0,18,53
"MO4031631",0,11,45.54
"MO4036038",0,4,65
"MO4036059",0,4,75
"MO4036064",1,12,81
"MO4036069",1,12,81
"MO4036095",1,12,81
"MO4036132",0,19,4
"MO4036144",0,16,51
"MO4036146",0,21,61
"MO4036173",0,4,75
"MO4036202",0,20,4
"MO4036224",1,12,81
"MO4036226",0,19,4
"MO4036256",1,28,80
"MO4036307",1,12,81
"MO4036308",1,12,81
"MO4036309",1,12,81
"MO4036311",1,17,84
"MO4036318",1,17,84
"MO4041308",0,15,64
"MO4041636",1,21,57
"MO4043109",0,NA,NA
"MO4048083",0,4,65
"MO4048181",1,4,87
"MO4048241",1,13,41
"MO4061392",1,29,98
"MO4061660",0.04,14,87.41
"MO4069038",1,9,97
"MO4069041",0.04,15,64
"MO4202639",0,23,30
"MO4256181",0,16,65
"MO5010004",1,27,34
"MO5010016",1,28,69
"MO5010020",1,33,86
"MO5010025",1,32,57
"MO5010027",1,6,43
"MO5010031",1,27,34
"MO5010032",0,31,39
"MO5010038",1,38,79.01
"MO5010040",1,28,81
"MO5010071",0,22,42
"MO5010085",0.54,17,53.36
"MO5010096",0.97,3,41.22
"MO5010104",1,25,76
"MO5010114",1,25,77
"MO5010119",1,18,69
"MO5010138",0.09,7,30.33
"MO5010141",0,22,69
"MO5010142",0.98,44,76.53
"MO5010144",1,21,88
"MO5010158",0.9,7,52
"MO5010175",1,11,39
"MO5010185",1,14,76
"MO5010192",0,28,37
"MO5010197",1,21,36
"MO5010202",1,32,67
"MO5010217",0,20,59
"MO5010218",1,9,72.39
"MO5010227",0.88,23,27
"MO5010241",1,26,95
"MO5010259",1,32,67
"MO5010262",1,18,69
"MO5010264",0.85,25,66.12
"MO5010267",1,27,69
"MO5010283",1,20,89
"MO5010285",1,12,72
"MO5010297",1,22,73
"MO5010298",1,10,86
"MO5010313",1,43,68
"MO5010315",1,17,53.37
"MO5010321",1,24,85
"MO5010331",1,32,67
"MO5010339",1,17,53.48
"MO5010341",0,40,62
"MO5010351",1,28,81
"MO5010361",1,4,24
"MO5010374",0.14,9,51.97
"MO5010387",1,26,69
"MO5010408",0.97,27,34.04
"MO5010413",0.19,27,74.68
"MO5010423",0,28,37
"MO5010446",1,27,71
"MO5010449",1,28,69
"MO5010458",0.77,27,73.33
"MO5010465",0,33,34
"MO5010475",1,32,57
"MO5010480",1,33,86
"MO5010493",1,32,77
"MO5010499",1,30,52
"MO5010503",1,20,64.7
"MO5010525",0,40,62
"MO5010530",0,33,34
"MO5010537",1,31,73.99
"MO5010545",0,14,49
"MO5010550",1,27,93.19
"MO5010553",0,18,79
"MO5010560",0.99,35,65.81
"MO5010562",0.73,41,86.09
"MO5010575",1,22,35
"MO5010576",0,4,43.89
"MO5010577",1,27,69
"MO5010585",1,32,77
"MO5010606",0.24,23,64.9
"MO5010612",1,29,17
"MO5010619",0,5,42.29
"MO5010641",1,23,55
"MO5010645",1,28,69
"MO5010650",1,15,38
"MO5010665",1,27,34
"MO5010667",1,23,50
"MO5010678",0,18,63
"MO5010679",1,7,52
"MO5010681",0.3,8,60.87
"MO5010697",1,11,73
"MO5010699",0,13,60.5
"MO5010723",0,30,87
"MO5010725",1,29,81
"MO5010730",1,19,62
"MO5010733",1,33,79
"MO5010734",1,24,77.95
"MO5010738",1,25,76
"MO5010749",1,32,57
"MO5010751",1,27,69
"MO5010752",0,16,62
"MO5010754",0.45,23,55.27
"MO5010760",1,27,69
"MO5010763",1,18,77
"MO5010765",1,33,56
"MO5010768",0,16,53
"MO5010807",1,18,54
"MO5010828",1,29,81
"MO5010829",0,31,39
"MO5010837",1,19,62
"MO5010843",1,10,2
"MO5010844",0,32,76.37
"MO5010855",1,21,36
"MO5010856",1,23,50
"MO5010860",0,16,38.3
"MO5010884",1,19,57
"MO5010903",1,26,69
"MO5010941",1,33,56
"MO5010967",1,18,77
"MO5010968",1,14,51
"MO5010999",1,6,43
"MO5011066",1,16,1
"MO5011068",1,18,54
"MO5021113",1,14,73.73
"MO5021116",1,20,71.69
"MO5021168",1,27,69
"MO5021252",0.67,28,63.22
"MO5021292",1,5,19.31
"MO5021421",0.2,3,36.38
"MO5021438",1,6,59
"MO5024023",0.52,33,49.08
"MO5024120",1,22,77.77
"MO5024133",0,13,25
"MO5024134",0,12,26.65
"MO5024228",0,4,23.66
"MO5024230",0,16,53
"MO5024231",0,19,26.97
"MO5024250",1,21,36
"MO5024286",0.71,14,72.54
"MO5024287",0.94,25,38.78
"MO5024317",0.86,15,75.13
"MO5024318",0.56,15,64.43
"MO5024319",0.14,16,73.87
"MO5024359",1,13,73.95
"MO5024423",1,26,74.25
"MO5024444",1,22,73
"MO5024590",0,1,59
"MO5024591",1,8,72
"MO5024599",1,13,74.56
"MO5024600",0.67,8,63.94
"MO5024601",0.87,2,36.04
"MO5024602",1,8,65.24
"MO5024617",0.97,25,74.05
"MO5024618",0.89,27,59.4
"MO5024622",0,20,36
"MO5024650",1,27,55.36
"MO5030015",1,2,81
"MO5030088",0.35,7,74.56
"MO5030178",1,9,77.13
"MO5030209",1,22,73
"MO5030380",0,2,31
"MO5030442",0,9,52
"MO5030690",0,8,75
"MO5030770",1,10,86
"MO5030781",0,3,21
"MO5030870",1,10,86
"MO5030915",1,6,60
"MO5030930",0,2,31
"MO5031070",0,1,59
"MO5031084",1,16,55.12
"MO5031086",1,7,51.86
"MO5031088",1,6,43
"MO5031093",0,NA,NA
"MO5031097",0,2,31
"MO5031102",0,9,52
"MO5031126",1,12,72
"MO5031128",0,2,31
"MO5031136",0,2,31
"MO5031141",0,1,59
"MO5031145",0,1,59
"MO5031148",0,1,81
"MO5031149",1,1,33
"MO5031152",0,13,25
"MO5031153",0,2,31
"MO5031159",0,8,75
"MO5031165",1,17,53
"MO5031172",0,2,31
"MO5031173",1,28,69
"MO5031192",1,9,76.01
"MO5031194",0,2,31
"MO5031210",1,15,38
"MO5031223",0.96,9,50
"MO5031235",1,10,86
"MO5031277",1,12,72
"MO5031278",0,2,31
"MO5031284",0,2,31
"MO5031294",0,9,52
"MO5031309",1,6,43
"MO5031335",0,1,59
"MO5031340",1,6,43
"MO5031343",1,10,86
"MO5031353",0,1,59
"MO5031375",0.12,13,38.07
"MO5031380",1,12,47.8
"MO5031398",1,12,72
"MO5031399",1,16,NA
"MO5031401",1,6,59
"MO5031408",0,14,49
"MO5031416",1,16,88
"MO5031420",1,10,86
"MO5031429",0,12,46
"MO5031430",1,34,87
"MO5031435",1,6,43
"MO5031436",1,8,82
"MO5031437",1,6,60
"MO5031454",1,8,NA
"MO5031496",1,6,59
"MO5031511",1,8,72
"MO5031513",0,3,32
"MO5031533",0,7,51
"MO5031540",1,8,72
"MO5031554",1,8,72
"MO5031570",0,9,27
"MO5031591",0,5,22
"MO5031601",1,11,60
"MO5031602",1,NA,NA
"MO5031604",0,2,31
"MO5031641",0,18,79
"MO5033107",1,15,77
"MO5036012",0,8,75
"MO5036016",1,8,72
"MO5036017",1,10,86
"MO5036020",1,6,43
"MO5036027",0,13,25
"MO5036046",0,1,59
"MO5036048",0,1,59
"MO5036054",0,11,87
"MO5036071",1,8,72
"MO5036076",0,1,59
"MO5036082",0,1,59
"MO5036090",0,2,31
"MO5036092",0,11,87
"MO5036100",0,1,59
"MO5036102",1,6,43
"MO5036109",0,18,50
"MO5036111",0,1,59
"MO5036115",0,10,49.52
"MO5036117",1,9,50
"MO5036140",0,14,49
"MO5036145",1,8,72
"MO5036147",0.05,6,32
"MO5036150",0,2,15
"MO5036152",1,11,73
"MO5036162",1,8,65.07
"MO5036163",1,10,85.79
"MO5036164",1,18,77
"MO5036168",1,14,51
"MO5036170",0,1,59
"MO5036177",1,14,51
"MO5036180",1,11,72.89
"MO5036182",1,6,43
"MO5036186",1,8,72
"MO5036187",0,11,55
"MO5036191",0,1,81
"MO5036192",0,18,50
"MO5036195",1,6,43
"MO5036196",1,14,51
"MO5036197",1,6,43
"MO5036198",0.97,1,33
"MO5036201",0,1,59
"MO5036203",1,10,2
"MO5036205",1,10,86
"MO5036210",0,9,52
"MO5036218",0,11,55
"MO5036223",1,14,76.57
"MO5036232",1,10,86
"MO5036241",0,18,50
"MO5036248",0,4,11
"MO5036253",1,12,72
"MO5036258",0,11,55
"MO5036263",0,2,31
"MO5036265",1,8,72
"MO5036267",1,8,72
"MO5036268",0,1,81
"MO5036272",0,1,59
"MO5036300",1,14,51
"MO5036304",0,18,50
"MO5036305",0,16,62
"MO5036314",1,10,2
"MO5036315",0,28,37
"MO5036319",0.47,NA,NA
"MO5036327",0,1,59
"MO5036352",0,2,31
"MO5036353",0,2,31
"MO5036356",0,1,59
"MO5040057",0,2,31
"MO5040176",1,11,39
"MO5040355",1,7,52
"MO5040555",0,1,38
"MO5041129",1,6,60
"MO5041212",1,11,73
"MO5041213",0,13,NA
"MO5041253",0,21,NA
"MO5041419",1,9,50
"MO5043117",1,NA,NA
"MO5048013",0,2,15.2
"MO5048047",1,7,52
"MO5048082",0,16,53
"MO5048099",0,6,32
"MO5048107",1,19,83
"MO5048130",0,3,40.31
"MO5048145",0,NA,NA
"MO5048161",1,11,73
"MO5048174",1,32,77
"MO5048177",1,23,55
"MO5048178",1,12,72
"MO5048211",0,13,61
"MO5048214",1,12,72
"MO5048225",0,5,67
"MO5048231",1,32,77
"MO5048264",0,6,20
"MO5048267",0,3,69
"MO5048271",1,6,60
"MO5048281",1,9,34
"MO5048286",1,9,50
"MO5048346",1,15,77
"MO5048394",0,1,38
"MO5048754",1,26,69
"MO5048974",1,33,79
"MO5048992",1,NA,NA
"MO5048995",0,18,63
"MO5069033",0,9,52
"MO5069035",1,20,89
"MO5069056",0,NA,NA
"MO5069084",0,1,59
"MO5069088",1,NA,NA
"MO5070476",1,8,72
"MO5070683",1,9,50
"MO5071085",0,2,31
"MO5071255",1,8,72
"MO5071269",0,1,81
"MO5071342",1,14,51
"MO5071459",1,26,54
"MO5071632",1,23,33
"MO5079527",0,0,54
"MO5172802",1,17,53
"MO5190909",1,18,77
"MO5190947",0.86,9,50.41
"MO5208303",1,10,2
"MO5238119",0.65,15,39.13
"MO5238302",1,10,2
"MO5240145",0,1,81
"MO5240546",1,29,17
"MO5242478",1,7,52
"MO5251518",1,6,43
"MO5252173",1,8,72
"MO5258070",0,2,31
"MO5271012",0,NA,NA
"MO5301390",1,6,59
"MO5301457",1,8,NA
"MO5301489",1,NA,NA
"MO6010058",1,32,68
"MO6010064",0,26,56
"MO6010077",0,35,86
"MO6010092",1,17,78
"MO6010198",0,39,73.03
"MO6010200",1,18,95
"MO6010213",0.55,37,88.99
"MO6010250",1,20,84
"MO6010258",0,6,37.55
"MO6010276",0,31,78.42
"MO6010287",0.62,5,26.61
"MO6010302",1,46,NA
"MO6010303",0,17,57
"MO6010353",0,8,24
"MO6010359",0.04,22,78.15
"MO6010360",0,41,69
"MO6010364",1,32,68
"MO6010368",0,14,45.5
"MO6010401",1,17,89
"MO6010412",1,32,68
"MO6010430",0,47,25.42
"MO6010457",1,21,57
"MO6010505",0,13,26
"MO6010521",1,30,84
"MO6010539",1,28,31
"MO6010544",1,46,NA
"MO6010547",0,7,65.79
"MO6010565",1,24,82
"MO6010568",0,26,56
"MO6010588",0,9,36.76
"MO6010590",0.52,37,81.05
"MO6010618",0.77,41,57.84
"MO6010620",0.68,17,74
"MO6010638",0.1,21,74.2
"MO6010657",0,44,85
"MO6010659",1,35,80.11
"MO6010702",0,34,70.21
"MO6010707",0.1,19,50.09
"MO6010708",0.77,30,85.1
"MO6010715",0.57,76,76.96
"MO6010716",0.16,32,44.28
"MO6010719",0.27,2,36.57
"MO6010759",1,28,75
"MO6010775",0.66,30,78.69
"MO6010798",0,18,75.69
"MO6010799",1,13,64.99
"MO6010801",0,25,73.8
"MO6010834",1,13,65
"MO6010838",0,27,51.45
"MO6010848",1,30,84
"MO6010849",0,14,45.12
"MO6010866",1,11,63
"MO6010874",1,10,12
"MO6010902",0.47,23,41.79
"MO6010919",0,1,4
"MO6010970",1,29,66
"MO6011535",0.01,11,14.97
"MO6021633",1,5,63
"MO6024211",0,22,59.82
"MO6024213",0.15,15,63
"MO6024214",0,16,57
"MO6024292",0,13,63.16
"MO6024293",0,17,74.05
"MO6024294",0,9,62.01
"MO6024295",0,9,63.73
"MO6024296",0,15,67.04
"MO6024298",0,15,67.06
"MO6024299",0.45,14,76.33
"MO6024300",0,10,58.84
"MO6024302",0,13,67.04
"MO6024304",0,16,70.7
"MO6024340",0.48,9,67.77
"MO6024341",0,19,79.68
"MO6024406",0.79,16,60.77
"MO6024530",0,2,26.91
"MO6024531",0,22,7
"MO6024628",0,13,26
"MO6024629",0.38,8,34.34
"MO6024633",1,17,89
"MO6030106",0.57,22,52.27
"MO6030484",0,11,10
"MO6030528",0,11,19
"MO6030662",0,1,41
"MO6031110",0,20,51
"MO6031185",0,12,42
"MO6031193",0,6,60
"MO6031248",0,13,65
"MO6031360",0,6,60
"MO6031362",0,2,NA
"MO6031382",0.93,29,83.05
"MO6031387",0,6,60
"MO6031412",0,6,60
"MO6031425",1,41,8
"MO6031461",0,NA,NA
"MO6031475",0,NA,NA
"MO6031493",0,6,60
"MO6031523",0,11,19
"MO6031642",0,6,60
"MO6031657",1,NA,NA
"MO6036009",0,20,57
"MO6036015",1,41,54
"MO6036022",0,2,NA
"MO6036028",0,14,75
"MO6036031",0,15,60.56
"MO6036037",1,17,78
"MO6036039",0,13,26
"MO6036041",0,20,57
"MO6036042",0,9,79
"MO6036049",0,11,19
"MO6036052",0,5,NA
"MO6036060",0,NA,NA
"MO6036061",0,19,73
"MO6036074",0,17,75.72
"MO6036075",0,18,87
"MO6036077",1,29,66
"MO6036080",0,17,69
"MO6036081",0,12,73
"MO6036083",0,17,69
"MO6036084",0,19,63
"MO6036085",0,18,87
"MO6036096",1,10,12
"MO6036101",0,6,27.84
"MO6036128",0.8,41,84
"MO6036134",0,18,87
"MO6036135",0,18,87
"MO6036139",0,13,7
"MO6036142",0,4,55
"MO6036148",1,29,66
"MO6036149",0.67,9,22.29
"MO6036161",0,11,19
"MO6036189",1,5,63
"MO6036207",0,11,19
"MO6036269",0,18,87
"MO6036271",0.24,14,44.11
"MO6036274",0,0,15.36
"MO6036316",0,11,19
"MO6040116",1,11,63
"MO6041184",0,15,83
"MO6041286",0,8,24
"MO6041648",0,16,60
"MO6048040",0,19,63
"MO6048048",0,10,50
"MO6048052",1,29,66
"MO6048068",1,18,87
"MO6048073",0,17,71
"MO6048093",1,13,65
"MO6048106",1,18,87
"MO6048147",0,19,73
"MO6048148",0,16,48
"MO6048150",0,17,71
"MO6048200",0,14,79.13
"MO6048201",1,41,84
"MO6048206",1,31,88
"MO6048208",0,NA,NA
"MO6048248",1,14,86
"MO6048249",0,14,29
"MO6048252",0,9,79
"MO6048272",0,13,57
"MO6048354",0,14,29
"MO6048356",1,10,12
"MO6048401",0,9,76
"MO6048616",0,39,73
"MO6069017",0,5,54
"MO6069045",0,17,69
"MO6069096",1,37,79.08
"MO6079516",0,9,37
"MO6251710",1,32,68
"042800001",0,10,79
"042800002",1,21,91
"042800003",1,6,89
"MS0010002",1,13,87
"MS0010005",1,15,92
"MS0010009",1,28,86.3
"MS0010015",1,41,90.86
"MS0020001",1,15,98
"MS0020002",1,26,79.64
"MS0020003",1,15,77.12
"MS0020005",1,14,36.19
"MS0020006",1,9,71
"MS0020007",1,24,76.33
"MS0020008",1,15,48
"MS0020014",1,15,94
"MS0030001",1,13,83.12
"MS0030002",1,14,78.16
"MS0030003",1,15,28.33
"MS0030004",1,17,69
"MS0030005",1,15,27
"MS0030006",1,15,27
"MS0030007",1,15,27
"MS0030021",1,15,59.28
"MS0030024",0.75,14,74.82
"MS0030026",1,17,69
"MS0040001",1,16,23.95
"MS0040002",1,21,32
"MS0040003",1,19,38.49
"MS0040004",1,33,87.87
"MS0040005",1,15,20
"MS0040006",1,20,37.68
"MS0040008",1,10,93
"MS0040010",1,15,23.88
"MS0040011",0.87,14,45
"MS0040012",1,16,11
"MS0040028",1,28,87.69
"MS0040029",1,16,11
"MS0050001",1,13,92
"MS0050002",1,13,87
"MS0050003",1,13,92
"MS0050016",1,13,92
"MS0050017",0,7,NA
"MS0050019",1,3,78
"MS0060001",1,32,87
"MS0060002",1,27,93
"MS0060003",1,13,34
"MS0060004",1,22,97.58
"MS0060006",0.51,26,69.52
"MS0060007",1,NA,NA
"MS0060008",1,32,87
"MS0060009",1,31,84.48
"MS0060011",1,18,53
"MS0060012",1,13,83.72
"MS0060013",1,12,86
"MS0060014",1,13,34.29
"MS0060015",1,23,62
"MS0060016",1,13,34
"MS0060017",1,27,93
"MS0060018",1,27,93.02
"MS0060019",1,32,87
"MS0060020",1,12,86
"MS0060042",1,13,34
"MS0060044",1,23,62
"MS0060047",1,23,73.51
"MS0060049",1,26,69.27
"MS0060050",1,23,62
"MS0060051",1,23,62
"MS0060053",1,NA,NA
"MS0060054",1,12,86
"MS0070002",1,20,86
"MS0070003",1,25,81.57
"MS0070004",1,15,62.4
"MS0070005",0.86,19,81.56
"MS0070006",1,20,32
"MS0070007",1,17,89
"MS0070008",1,20,55.51
"MS0070010",0.78,17,53.96
"MS0070012",1,17,89
"MS0070015",1,20,86
"MS0070016",1,20,44
"MS0070017",0.38,12,72.67
"MS0070018",1,22,83.11
"MS0070019",1,17,89
"MS0070020",0.81,17,54.23
"MS0070024",1,17,86.65
"MS0080001",1,10,93
"MS0080002",0.01,17,29.14
"MS0080003",0.98,10,91.83
"MS0080005",0.12,17,32.31
"MS0080006",0,17,29
"MS0080009",1,10,93
"MS0090001",1,16,85.05
"MS0090002",1,18,70.72
"MS0090003",0.44,18,79.52
"MS0090004",1,18,78
"MS0090005",1,12,89
"MS0090007",1,18,69
"MS0090008",1,10,36
"MS0090010",1,10,36
"MS0090012",1,14,58
"MS0090023",1,11,42.84
"MS0090024",1,15,65.1
"MS0100001",1,29,86.6
"MS0100002",1,12,82.42
"MS0100003",1,16,82.64
"MS0100004",1,10,81
"MS0100006",1,11,74.74
"MS0100007",1,18,89.37
"MS0100008",1,18,90
"MS0100009",1,10,81
"MS0100010",1,15,74.83
"MS0100016",1,7,45
"MS0100017",1,18,90
"MS0110002",1,6,82.87
"MS0110003",0.74,6,80.08
"MS0110004",1,6,84
"MS0110005",1,22,82.44
"MS0110006",1,6,80
"MS0110013",1,9,80
"MS0120004",0,17,93
"MS0120005",1,16,89.4
"MS0120006",1,11,84
"MS0120007",0.8,23,97.16
"MS0120008",1,11,84
"MS0120009",0,17,93
"MS0120011",0,13,61
"MS0120016",0.63,14,88.45
"MS0120018",0,17,93
"MS0120027",0,17,93
"MS0120028",0,17,93
"MS0130003",0.76,8,76.45
"MS0130008",1,6,76.98
"MS0130015",1,30,89.94
"MS0130016",1,22,83.84
"MS0130017",1,26,85.48
"MS0130018",1,27,87.23
"MS0130019",1,29,88.27
"MS0130023",1,10,77
"MS0140002",1,36,92.7
"MS0140003",1,20,2
"MS0140004",1,20,2
"MS0140005",1,20,2
"MS0140007",1,28,87
"MS0140008",1,20,2
"MS0140009",1,28,87
"MS0140010",1,28,87.12
"MS0140011",1,16,59
"MS0140012",1,25,63.87
"MS0140033",1,16,59
"MS0140045",1,14,54
"MS0140047",1,20,2
"MS0140052",1,25,90.06
"MS0140053",1,NA,NA
"MS0150001",1,13,69
"MS0150002",0.72,20,78.74
"MS0150003",0.84,33,96.75
"MS0150004",0,16,84.76
"MS0150005",0,16,87
"MS0150006",0.03,16,87
"MS0150007",0.96,27,95.29
"MS0150009",0.03,16,79.72
"MS0150010",0.02,17,80.77
"MS0150011",1,16,50
"MS0150020",1,13,69
"MS0160001",1,14,31
"MS0160002",1,18,84.2
"MS0160003",1,19,87
"MS0160004",1,19,87
"MS0160006",1,14,31
"MS0160009",1,14,31
"MS0160010",0.99,11,60.95
"MS0160011",1,17,60.87
"MS0170001",0,7,54.57
"MS0170002",0,7,29.13
"MS0170005",0.74,5,72.19
"MS0170006",0.22,8,64.08
"MS0170009",0,1,27
"MS0170010",0.33,2,74.35
"MS0170011",0,8,69
"MS0170014",0.04,5,38.05
"MS0170015",0,2,55.13
"MS0170018",0,4,57.48
"MS0170019",1,10,34
"MS0170020",0,8,61
"MS0170022",0.31,6,75.76
"MS0170024",0.36,8,97.98
"MS0170025",0.79,6,81.22
"MS0170027",0.33,6,68.63
"MS0170043",0.76,6,57.42
"MS0170049",0,2,48
"MS0170050",0,8,69
"MS0180001",0,14,77
"MS0180003",1,7,77
"MS0180005",1,9,78.33
"MS0180006",0,14,77
"MS0180007",1,9,53
"MS0180008",0.33,5,68.67
"MS0180009",1,7,77
"MS0180011",0.78,32,83.68
"MS0180012",1,6,63.69
"MS0180013",0.05,9,83.65
"MS0180014",1,27,93.36
"MS0180021",1,7,77
"MS0180022",1,7,NA
"MS0190001",1,18,81
"MS0190003",1,18,81
"MS0190004",1,11,82
"MS0190005",1,11,82
"MS0190006",1,18,80.48
"MS0190008",1,NA,NA
"MS0190009",1,18,81
"MS0190010",1,18,81
"MS0190014",1,18,81
"MS0190015",1,11,82
"MS0200001",1,15,79.16
"MS0200003",1,10,75
"MS0200004",1,16,82.61
"MS0200005",1,15,83.61
"MS0200006",1,13,88
"MS0210001",0,12,80.69
"MS0210002",0.44,14,88.04
"MS0210003",1,15,93
"MS0210004",0.49,13,89.43
"MS0210005",0,11,86
"MS0210006",1,15,93
"MS0210012",1,15,93
"MS0220002",1,4,43.95
"MS0220003",0.03,14,83.31
"MS0220004",0.15,12,90.47
"MS0220005",1,28,96
"MS0220007",1,37,90.42
"MS0220008",0.28,13,95.14
"MS0220013",0,10,95
"MS0220036",1,11,87
"MS0220062",0,17,29
"MS0220064",0.8,15,79.7
"MS0220065",1,19,81
"MS0230001",0.63,11,73.29
"MS0230002",0,8,84
"MS0230003",0,8,84
"MS0230004",0,7,82
"MS0230005",0,2,54.71
"MS0230050",0,13,68
"MS0230051",1,NA,NA
"MS0230057",0,7,82
"MS0230063",0.72,7,64.73
"MS0230065",1,2,81
"MS0230067",0,1,54.37
"MS0230069",0,8,84
"MS0230071",0.57,14,50
"MS0240001",0.77,29,89.54
"MS0240002",1,4,71.02
"MS0240003",0.57,6,75.42
"MS0240005",0.43,16,82.73
"MS0240009",0.75,5,67.8
"MS0240011",0.52,4,85.67
"MS0240026",1,8,75.38
"MS0240027",0,5,62
"MS0240036",1,1,92.94
"MS0240049",1,13,71.94
"MS0240052",1,14,50.74
"MS0240060",0.87,27,94.55
"MS0240066",1,45,95.04
"MS0240084",0.79,30,91.48
"MS0240089",1,38,92
"MS0240139",0,5,62
"MS0240194",0.57,5,84.43
"MS0240212",1,NA,NA
"MS0240214",1,21,79.44
"MS0240236",0,8,92
"MS0240237",1,3,73
"MS0240247",0,2,83
"MS0240251",0,0,79.22
"MS0240255",0,27,19
"MS0240256",0.25,3,48
"MS0240257",1,1,95
"MS0240258",0,2,83
"MS0240266",1,43,96.06
"MS0240270",1,NA,NA
"MS0240271",0.23,6,72.86
"MS0240272",0.47,13,62.98
"MS0240273",1,NA,NA
"MS0240274",1,29,85.19
"MS0240276",1,5,87
"MS0240277",1,26,99
"MS0250001",0,5,47.7
"MS0250003",0.06,4,51.72
"MS0250004",0,9,25
"MS0250005",1,14,82
"MS0250008",0.44,29,70.99
"MS0250011",0,10,65
"MS0250012",0.01,6,34.51
"MS0250014",0,10,65
"MS0250015",0,10,65
"MS0250020",0.04,12,61.25
"MS0250021",0.89,9,66.34
"MS0250022",0.59,12,71.05
"MS0250023",0,9,25
"MS0250024",0,10,65
"MS0250025",0,9,25
"MS0250026",1,8,59
"MS0250029",1,14,82
"MS0250094",0,10,65
"MS0260001",1,23,NA
"MS0260003",1,15,92
