"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"CT0780251",67,NA,NA,0.64,4.83,88.19,0.15,0,1.53,4.64,6.9,2.43,18.86,27.53,6.21,42.34,5.11,39.42,5.84,7.3,0,29.01,44.88,55.12,11.81,27.07,1.46,1106,"Most people pay < $125 for water & sewer annually"
"CT0787011",60,36360,15462,6.45,16.29,73.9,0.09,0,1.19,2.08,5.42,1.01,10.57,19.85,7.6,24.79,3.31,47.93,10.74,2.07,11.16,33.61,60.49,39.51,26.1,37.23,1.39,772,"Most people pay between $250-499 for water & sewer annually"
"CT0787091",54,91250,47175,0.6,2.01,85.58,0,0,2.67,9.14,13.85,0.53,30.75,28.62,0.98,0,15.38,12.39,36.32,5.56,30.34,2.49,8.68,91.32,14.42,3.39,1.1,710,"Most people pay between $500-749 for water & sewer annually"
"CT0787111",131,123375,52777,2.88,2.01,88.18,0.18,0,0.28,6.47,4.7,5.41,19.52,22.4,5.88,4.42,3.41,31.78,42.84,7.21,10.33,7.94,9.96,90.04,11.82,7.49,1.9,307,"Most people pay between $500-749 for water & sewer annually"
"CT0787121",73,107885,73426,0,0.17,95.19,0,0,0.5,4.14,2.04,7.21,31.67,27.62,3.41,19.69,0,32.12,34.72,0,13.47,4.8,7.43,92.57,4.81,6.64,1.55,387,"Most people pay between $500-749 for water & sewer annually"
"CT0790011",111,126850,59988,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,759,"Most people pay between $500-749 for water & sewer annually"
"CT0790031",211,NA,NA,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,1065,"Most people pay between $500-749 for water & sewer annually"
"CT0790041",89,126850,59988,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,766,"Most people pay between $500-749 for water & sewer annually"
"CT0791001",44,126850,59988,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,758,"Most people pay between $500-749 for water & sewer annually"
"CT0791201",27,NA,NA,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,407,"Most people pay between $500-749 for water & sewer annually"
"CT0792011",36,126850,59988,2.68,1.58,93.45,0,0,0.96,1.33,8.12,4.27,19.46,29.15,8.99,15.89,0,17.66,33.77,11.04,21.63,7.7,9.62,90.38,6.55,9.32,2.43,313,"Most people pay between $500-749 for water & sewer annually"
"CT0798013",382,131000,65307,0.03,3.52,94.2,0,0,1.17,1.08,0.31,4.22,19.02,32.69,6.92,5.18,9.51,39.64,21.25,6.34,18.08,2.12,13.46,86.54,5.8,3.92,2.02,809,"Most people pay between $250-499 for water & sewer annually"
"CT0800011",60756,64660,31664,9.44,2.64,67.87,0.5,0.03,6.95,12.57,35.51,5.59,19.81,12.48,8.58,7.56,11.52,24.18,19.4,16.27,21.07,12.16,41.53,58.47,32.13,13.5,5.2,3182,"Most people pay between $250-499 for water & sewer annually"
"CT0815051",34,116778,40477,0.62,1.16,90.8,0.74,0,3.37,3.31,6.74,4.53,26.49,27.05,5.68,6.68,9.62,46.34,19.96,11.17,6.23,3.38,15.39,84.61,9.2,4.88,1.37,600,"Most people pay between $250-499 for water & sewer annually"
"CT0819061",29,126327,61364,0,10.8,87.54,0,0,0.86,0.79,0.86,5.69,31.5,26.56,3.35,10.06,8.02,41.04,21.86,16.04,2.99,3.64,1.73,98.27,12.46,1.44,1.12,198,"Most people pay between $250-499 for water & sewer annually"
"CT0820031",31,NA,NA,0.44,3.44,92.61,0,0,0.4,3.11,3.25,4.14,25.16,15.33,1.87,16.37,0,33.1,44.84,0,5.69,13.93,16.66,83.34,7.39,9.05,1.46,516,"Most people pay between $500-749 for water & sewer annually"
"CT0820501",37,NA,NA,0.44,3.44,92.61,0,0,0.4,3.11,3.25,4.14,25.16,15.33,1.87,16.37,0,33.1,44.84,0,5.69,13.93,16.66,83.34,7.39,9.05,1.46,337,"Most people pay between $500-749 for water & sewer annually"
"CT0826061",49,90125,34091,0.44,3.44,92.61,0,0,0.4,3.11,3.25,4.14,25.16,15.33,1.87,16.37,0,33.1,44.84,0,5.69,13.93,16.66,83.34,7.39,9.05,1.46,858,"Most people pay between $500-749 for water & sewer annually"
"CT0827071",270,90125,34091,0.44,3.44,92.61,0,0,0.4,3.11,3.25,4.14,25.16,15.33,1.87,16.37,0,33.1,44.84,0,5.69,13.93,16.66,83.34,7.39,9.05,1.46,1852,"Most people pay between $500-749 for water & sewer annually"
"CT0827081",78,90125,34091,0.44,3.44,92.61,0,0,0.4,3.11,3.25,4.14,25.16,15.33,1.87,16.37,0,33.1,44.84,0,5.69,13.93,16.66,83.34,7.39,9.05,1.46,1211,"Most people pay between $500-749 for water & sewer annually"
"CT0830011",43034,67511,29871,15.74,6.06,70.07,0.63,0,1.75,5.75,10.92,3.87,19.26,22.99,5.42,7.04,14.87,27.96,24.81,11.8,13.52,13.54,47.86,52.14,29.93,11.68,2.89,2372,"Most people pay between $250-499 for water & sewer annually"
"CT0830021",431,61182,34323,18.94,1.2,71.02,0.28,0,2.5,6.05,12.38,3.18,32.01,17.65,8.85,4.39,18.65,25.63,21.06,8.52,21.76,14.07,40.96,59.04,28.98,12.64,2.23,540,"Most people pay between $250-499 for water & sewer annually"
"CT0860011",1192,89495,45405,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,1622,"Most people pay between $500-749 for water & sewer annually"
"CT0860021",1267,71337,38846,3.54,10.18,69.7,3.61,0,9.68,3.29,11.14,3.08,21.09,11.44,6.18,6.81,10.93,46.68,7.35,10.84,17.38,4.73,23.17,76.83,30.3,5.73,5.31,1714,"Most people pay between $250-499 for water & sewer annually"
"CT0860031",488,89495,45405,6.56,1.06,88.09,0.77,0,0.19,3.32,3.36,3.68,17.44,18.43,1.83,0.33,5.14,30.21,39.58,4.22,20.51,4.06,11.86,88.14,11.91,3.8,3.16,1686,"Most people pay between $500-749 for water & sewer annually"
"CT0860041",656,81094,46325,17.07,1.24,61.8,0.21,0,8.46,11.21,17.89,2.57,18.56,9.71,7.79,4.58,2.65,39.76,29.88,6.75,16.39,5.56,24.03,75.97,38.2,7.95,7.9,2044,"Most people pay between $250-499 for water & sewer annually"
"CT0860051",42,NA,NA,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,695,"Most people pay between $500-749 for water & sewer annually"
"CT0860081",344,95091,60056,6.04,1.84,86.78,0.28,0,0.02,5.04,6.18,4.26,18.92,16.98,3.17,8.45,16.11,42.01,23.17,2.97,7.29,5.25,12.8,87.2,13.22,3.48,5.37,1351,"Most people pay between $250-499 for water & sewer annually"
"CT0860091",35,NA,NA,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,572,"Most people pay between $500-749 for water & sewer annually"
"CT0860131",556,95091,60056,6.03,1.85,86.76,0.27,0,0.02,5.08,6.24,4.27,18.95,16.96,3.2,8.64,16.36,42.28,22.79,2.94,6.99,5.28,12.81,87.19,13.24,3.47,5.42,1333,"Most people pay between $250-499 for water & sewer annually"
"CT0860141",135,NA,NA,17.07,1.24,61.8,0.21,0,8.46,11.21,17.89,2.57,18.56,9.71,7.79,4.58,2.65,39.76,29.88,6.75,16.39,5.56,24.03,75.97,38.2,7.95,7.9,2283,"Most people pay between $250-499 for water & sewer annually"
"CT0860171",73,89495,45405,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,804,"Most people pay between $500-749 for water & sewer annually"
"CT0860191",51,NA,NA,6.03,1.85,86.76,0.27,0,0.02,5.08,6.24,4.27,18.95,16.96,3.2,8.64,16.36,42.28,22.79,2.94,6.99,5.28,12.81,87.19,13.24,3.47,5.42,853,"Most people pay between $250-499 for water & sewer annually"
"CT0860211",65,NA,NA,6.03,1.85,86.76,0.27,0,0.02,5.08,6.24,4.27,18.95,16.96,3.2,8.64,16.36,42.28,22.79,2.94,6.99,5.28,12.81,87.19,13.24,3.47,5.42,576,"Most people pay between $250-499 for water & sewer annually"
"CT0861021",47,NA,NA,5.89,2.32,85.8,0.45,0,0.56,4.98,6.51,4.21,19.07,16.66,3.37,8.41,15.67,42.84,20.84,3.94,8.3,5.25,13.39,86.61,14.2,3.6,5.41,517,"Most people pay between $250-499 for water & sewer annually"
"CT0861051",19,NA,NA,3.54,10.18,69.7,3.61,0,9.68,3.29,11.14,3.08,21.09,11.44,6.18,6.81,10.93,46.68,7.35,10.84,17.38,4.73,23.17,76.83,30.3,5.73,5.31,360,"Most people pay between $250-499 for water & sewer annually"
"CT0861111",57,90614,48335,6.11,1.73,86.96,0.34,0,0.04,4.81,5.8,4.18,18.72,17.17,2.99,7.18,14.39,40.16,25.75,3.17,9.37,5.09,12.67,87.33,13.04,3.52,5.07,708,"Most people pay between $250-499 for water & sewer annually"
"CT0861251",86,89495,45405,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,683,"Most people pay between $500-749 for water & sewer annually"
"CT0864011",3985,78832,44407,9.6,4.98,69.35,1.57,0,7.52,6.98,13.14,3.21,19.66,11.72,6.17,6.74,8.67,43.85,16.26,8.89,15.59,5.17,21.69,78.31,30.65,6.28,6.06,1406,"Most people pay between $250-499 for water & sewer annually"
"CT0866301",104,89495,45405,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,1351,"Most people pay between $500-749 for water & sewer annually"
"CT0867071",58,NA,NA,6.03,1.85,86.76,0.27,0,0.02,5.08,6.24,4.27,18.95,16.96,3.2,8.64,16.36,42.28,22.79,2.94,6.99,5.28,12.81,87.19,13.24,3.47,5.42,304,"Most people pay between $250-499 for water & sewer annually"
"CT0867101",227,95091,60056,6.13,1.7,87.01,0.36,0,0.05,4.74,5.68,4.16,18.66,17.23,2.93,6.8,13.88,39.61,26.51,3.22,9.98,5.04,12.63,87.37,12.99,3.54,4.97,531,"Most people pay between $250-499 for water & sewer annually"
"CT0868011",27,89495,45405,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,563,"Most people pay between $500-749 for water & sewer annually"
"CT0869011",24,NA,NA,3.54,10.18,69.7,3.61,0,9.68,3.29,11.14,3.08,21.09,11.44,6.18,6.81,10.93,46.68,7.35,10.84,17.38,4.73,23.17,76.83,30.3,5.73,5.31,320,"Most people pay between $250-499 for water & sewer annually"
"CT0869121",81,NA,NA,6.59,1.03,88.16,0.8,0,0.19,3.24,3.22,3.65,17.37,18.51,1.76,0,4.69,29.73,40.26,4.27,21.05,4,11.81,88.19,11.84,3.81,3.05,626,"Most people pay between $500-749 for water & sewer annually"
"CT0878011",77,NA,NA,2.32,1.07,94.63,0.22,0,0,1.76,1.45,3.44,30.75,19.69,9.98,7.92,3.06,66.6,1.36,13.93,7.13,6.81,16.14,83.86,5.37,8.13,2.76,850,"Most people pay between $250-499 for water & sewer annually"
"CT0878021",15,94167,44294,2.75,0,94.74,0.33,0,0,2.19,1.21,3.16,27.41,19.07,12.07,11.63,0,88.37,0,0,0,6.86,11.11,88.89,5.26,9.96,0.65,219,"Most people pay between $250-499 for water & sewer annually"
"CT0880011",36154,90935,39981,6.9,2.91,82.18,0.06,0,2.65,5.31,10.84,4.74,20.53,19.41,5.85,6.65,11.39,26.89,24.84,12.98,17.25,4.52,28.14,71.86,17.82,4.57,4.39,1942,"Most people pay between $250-499 for water & sewer annually"
"CT0880031",243,79293,32058,6.48,1.5,81.24,0.01,0,4.88,5.89,10.13,2.33,24.43,19.56,4.4,2.67,8.53,40.8,16.04,15.26,16.69,7.97,23.24,76.76,18.76,6.23,3.01,2077,"Most people pay between $250-499 for water & sewer annually"
"CT0890011",79534,55435,25035,13.29,2.9,60.66,0.41,0.03,11.58,11.13,40.21,7.07,17.14,13.15,8.83,6.02,11.82,29.24,26.06,13.57,13.3,18.35,55.44,44.56,39.34,19.29,4.8,4320,"Most people pay between $250-499 for water & sewer annually"
"CT0900011",168,161146,76025,0.03,0.76,91.17,0,0,3.91,4.12,2.58,6.81,22.91,33.74,4.75,29.81,9.82,29.78,19.13,2.89,8.57,2.62,9.38,90.62,8.83,1.21,1.7,519,"Most people pay < $125 for water & sewer annually"
"CT0910011",1243,123333,42268,0.78,2.26,85.22,0.17,0,1.59,9.99,7.05,8.16,20.75,28.57,5.08,18.91,2.94,34.03,38.45,1.89,3.78,4.3,7.55,92.45,14.78,6.02,3.29,2755,"Most people pay between $500-749 for water & sewer annually"
"CT0910021",157,123333,42268,1.08,3.15,84.27,0.13,0.08,2.26,9.03,8.07,7.44,22.27,28.44,4.88,23.88,5.46,34.63,31.61,1.48,2.95,4.06,11.09,88.91,15.73,5.07,3.07,1057,"Most people pay between $250-499 for water & sewer annually"
"CT0910031",361,125086,46039,0.71,2.2,86.28,0.14,0,1.72,8.94,6.69,8.13,20.92,28.56,6.27,18.48,3.31,33.97,37.28,1.82,5.16,3.85,6.96,93.04,13.72,5.55,2.89,943,"Most people pay between $500-749 for water & sewer annually"
"CT0910041",484,118480,53233,0.98,2.47,84.47,0,0.08,4.52,7.47,13.02,3.83,26.05,22.88,4.63,9.98,12.75,40.69,25.22,8.3,3.06,3.12,12,88,15.53,3.58,4.22,1174,"Most people pay between $250-499 for water & sewer annually"
"CT0910081",274,118480,53233,0.59,0.14,91.16,0,0.11,1.82,6.17,11.84,3.79,24.69,23.08,4.93,9.92,2.07,42.56,30.17,10.74,4.55,2.81,8.34,91.66,8.84,3.53,2.24,1325,"Most people pay between $250-499 for water & sewer annually"
"CT0910591",506,118480,53233,0.58,0.23,91.23,0,0.11,1.85,6.01,11.48,4,24.55,23.35,5.3,9.89,2.23,42.4,29.83,10.57,5.09,2.74,8.12,91.88,8.77,3.5,2.16,1576,"Most people pay between $250-499 for water & sewer annually"
"CT0911061",137,118480,53233,0.58,0.2,91.21,0,0.11,1.85,6.05,11.57,3.94,24.59,23.28,5.21,9.9,2.19,42.44,29.92,10.62,4.95,2.75,8.18,91.82,8.79,3.5,2.18,1487,"Most people pay between $250-499 for water & sewer annually"
"CT0911091",24,118480,53233,0.59,0.14,91.16,0,0.11,1.82,6.17,11.84,3.79,24.69,23.08,4.93,9.92,2.07,42.56,30.17,10.74,4.55,2.81,8.34,91.66,8.84,3.53,2.24,502,"Most people pay between $250-499 for water & sewer annually"
"CT0915221",103,134726,66781,0.34,1.88,92.46,0,0,2.44,2.87,4.6,7.94,21.88,28.53,12.28,8.08,12.12,32.32,9.09,0,38.38,1.3,3.65,96.35,7.54,2.89,0.58,961,"Most people pay > $1000 for water & sewer annually"
"CT0920011",1248,100156,54167,0.03,1.59,95.5,0.15,0,1.08,1.66,1.32,6.97,20.55,25.44,6.08,8.21,17.93,32.83,23.1,4.56,13.37,2.29,15.42,84.58,4.5,1.17,1.3,813,"Most people pay between $250-499 for water & sewer annually"
"CT0920041",76,NA,NA,0.03,1.49,95.62,0.14,0,0.99,1.74,1.43,6.7,21.14,25.66,6.21,8.12,18.08,32.48,23.29,4.8,13.23,2.36,14.98,85.02,4.38,1.44,1.33,518,"Most people pay between $250-499 for water & sewer annually"
"CT0930011",450671,77383,33461,18.28,5.02,62.97,0.18,0.05,7.43,6.08,18.25,4.91,20.29,20.32,6.84,8.01,10.09,22.15,21.81,15.54,22.4,12.95,42.61,57.39,37.03,12.44,5.49,2681,"Most people pay > $1000 for water & sewer annually"
"CT0950011",26768,54642,24888,15.81,2.86,54.1,0.35,0,16.58,10.29,33.4,4.67,16.62,15.19,7.3,9.96,18.82,29.04,20.21,11.49,10.48,19.8,60.24,39.76,45.9,23.97,8.98,4546,"Most people pay between $250-499 for water & sewer annually"
"CT0960011",13722,92378,46426,3.25,4.32,84.92,0.07,0.03,3.08,4.34,9.57,4.33,19.56,25.37,5.39,9.88,12.57,30.28,20.51,9.87,16.89,5.88,26.95,73.05,15.08,6.01,4.39,1238,"Most people pay between $250-499 for water & sewer annually"
"CT0960031",643,75653,39975,3.92,5.48,81.35,0,0,4.25,5,11.28,3.2,14.97,20.09,4.83,3.88,13.88,29.49,20.92,16.63,15.2,5.28,37.74,62.26,18.65,4.17,5.99,2318,"Most people pay between $250-499 for water & sewer annually"
"CT0960061",321,103176,51029,2.7,1.4,87.37,0.15,0,3.54,4.84,8.25,5.95,19.19,28.34,4.71,20.77,5.33,40.56,17.21,13.97,2.17,5.99,12.33,87.67,12.63,5.16,2.09,1218,"Most people pay between $250-499 for water & sewer annually"
"CT0960071",476,105505,50768,2.08,1.94,87.64,0.11,0.22,2.92,5.09,7.24,5.64,20.34,28.8,4.17,16.95,7.9,37.73,20.76,12.79,3.87,5.57,9.94,90.06,12.36,5.19,3.52,979,"Most people pay between $250-499 for water & sewer annually"
"CT0960091",332,103176,51029,2.61,1.09,87.82,0.16,0,3.49,4.83,8.03,6.15,19.5,28.92,4.7,22.72,4.33,41.84,16.78,13.66,0.65,6.04,10.44,89.56,12.18,5.23,1.8,1392,"Most people pay between $250-499 for water & sewer annually"
"CT0960101",523,103176,51029,2.53,1.05,87.97,0.16,0.02,3.42,4.85,7.88,6.19,19.69,29.12,4.66,22.87,4.33,41.91,17.04,13.45,0.41,6.03,9.69,90.31,12.03,5.26,1.83,1033,"Most people pay between $250-499 for water & sewer annually"
"CT0960141",276,100118,49801,3.62,4.47,82.84,0.04,0,4.07,4.96,10.53,3.88,16.02,22.23,4.8,6.89,12.35,31.47,20.26,16.16,12.88,5.46,31.48,68.52,17.16,4.42,5.02,970,"Most people pay between $250-499 for water & sewer annually"
"CT0960151",152,103176,51029,2.57,0.97,88,0.16,0,3.47,4.83,7.94,6.23,19.63,29.15,4.7,23.57,3.91,42.4,16.6,13.53,0,6.07,9.67,90.33,12,5.26,1.68,1423,"Most people pay between $250-499 for water & sewer annually"
"CT0960161",300,115297,67553,1.84,3.78,85.7,0,0,5.07,3.6,10.66,6.97,18.08,32.52,9.63,14.7,8.94,30.49,41.41,2.78,1.69,3.18,14.26,85.74,14.3,2.27,3.45,1524,"Most people pay between $500-749 for water & sewer annually"
"CT0960171",131,143870,71571,2.02,1.17,89.52,0.13,0,2.96,4.2,7.56,6.28,19.85,30.53,4.55,22.51,4.4,40.62,16.63,14.61,1.24,5.19,8.2,91.8,10.48,4.32,2.1,680,"Most people pay between $250-499 for water & sewer annually"
"CT0960191",149,115297,67553,1.84,3.78,85.7,0,0,5.07,3.6,10.66,6.97,18.08,32.52,9.63,14.7,8.94,30.49,41.41,2.78,1.69,3.18,14.26,85.74,14.3,2.27,3.45,886,"Most people pay between $500-749 for water & sewer annually"
"CT0960201",498,116261,67532,1.81,3.7,86.01,0,0,4.94,3.55,10.46,6.85,18.63,32.5,9.53,14.72,8.91,30.46,41.35,2.8,1.75,3.15,14.18,85.82,13.99,2.3,3.44,1003,"Most people pay between $500-749 for water & sewer annually"
"CT0960211",92,103176,51029,2.71,1.41,87.35,0.15,0,3.54,4.84,8.26,5.94,19.17,28.31,4.71,20.66,5.38,40.49,17.24,13.99,2.25,5.99,12.44,87.56,12.65,5.15,2.11,887,"Most people pay between $250-499 for water & sewer annually"
"CT0960301",454,115297,67553,1.83,3.76,85.77,0,0,5.04,3.59,10.61,6.94,18.22,32.51,9.61,14.7,8.93,30.48,41.4,2.79,1.7,3.17,14.24,85.76,14.23,2.28,3.45,777,"Most people pay between $500-749 for water & sewer annually"
"CT0968011",64,103176,51029,2.57,0.97,88,0.16,0,3.47,4.83,7.94,6.23,19.63,29.15,4.7,23.57,3.91,42.4,16.6,13.53,0,6.07,9.67,90.33,12,5.26,1.68,489,"Most people pay between $250-499 for water & sewer annually"
"CT0969361",69,NA,NA,1.96,0.99,87.75,0,0,0.22,9.08,5.93,7.73,22.47,24.14,17.31,32.34,0,26.95,1.8,25.15,13.77,11.09,10.87,89.13,12.25,15.11,8.76,607,"Most people pay < $125 for water & sewer annually"
"CT0970011",2,NA,NA,1.5,1.4,89.48,0,0,5.08,2.55,5.53,5.7,20.89,31.3,5.48,20.77,15.41,17.76,11.22,27.81,7.04,3.09,4.01,95.99,10.52,3.01,5.43,63,"Most people pay between $750-999 for water & sewer annually"
"CT0970021",270,144250,56278,5.64,0.85,85.13,0,0.87,2.6,4.92,10.32,4.42,16.74,29.5,5.93,6.1,5.63,42.72,13.62,14.08,17.84,3.18,18.61,81.39,14.87,3.55,0.89,602,"Most people pay between $250-499 for water & sewer annually"
"CT0970071",95,132034,52160,0,1.34,87.61,0,0,2.98,8.08,11.97,2.04,23.42,32.01,3.82,14.4,0,44.8,22.4,0,18.4,6.33,10.29,89.71,12.39,4.31,2.58,1335,"Most people pay between $250-499 for water & sewer annually"
"CT0971011",46,144250,56278,5.64,0.85,85.13,0,0.87,2.6,4.92,10.32,4.42,16.74,29.5,5.93,6.1,5.63,42.72,13.62,14.08,17.84,3.18,18.61,81.39,14.87,3.55,0.89,394,"Most people pay between $250-499 for water & sewer annually"
"CT0980011",510,76382,30429,0.42,0.72,90.29,0.24,0,0.59,7.74,4.07,4.73,34.93,23.27,4.34,15.65,7.45,21.83,8.88,9.11,37.08,9.43,21.68,78.32,9.71,11.47,1.04,220,"Most people pay > $1000 for water & sewer annually"
"CT0990011",283,116834,61638,0.65,1.18,92.48,0,0,0.82,4.88,2.52,5.98,22.92,24.6,3.48,3.27,3.68,68.69,13.33,2.89,8.13,3.03,8.21,91.79,7.52,2.76,1.69,1163,"Most people pay between $250-499 for water & sewer annually"
"CT0990031",42,NA,NA,0.91,1.24,92.16,0,0,0.61,5.08,2.34,6.17,22.9,23.44,2.72,3.63,4.09,72.08,12.6,2.61,4.99,1.98,8.92,91.08,7.84,2,1.46,658,"Most people pay between $250-499 for water & sewer annually"
"CT1000011",1381,60789,18700,1.87,0,91.8,0,0,4.36,1.96,11.03,4.86,23.59,18.22,4.56,5.47,8.96,44.28,5.97,17.66,17.66,19.37,36.74,63.26,8.2,17.81,7.73,641,"Most people pay between $250-499 for water & sewer annually"
"CT1020011",254,85266,34000,0.1,3.49,93.35,0.5,0,0.02,2.54,7.18,4.68,29.29,23.11,4.35,9.86,34.69,23.36,19.34,6.05,6.71,5.59,8.61,91.39,6.65,6.21,5.22,1216,"Most people pay between $125-249 for water & sewer annually"
"CT1020021",431,85266,34000,0.04,3.53,93.36,0.5,0,0.02,2.54,7.22,4.7,29.24,23.12,4.35,9.71,34.86,23.24,19.43,6.1,6.67,5.6,8.5,91.5,6.64,6.26,5.23,553,"Most people pay between $125-249 for water & sewer annually"
"CT1021001",101,85266,34000,0.44,3.27,93.27,0.46,0,0.04,2.52,6.98,4.6,29.55,23.11,4.32,10.64,33.77,24,18.84,5.79,6.96,5.51,9.18,90.82,6.73,5.96,5.19,1301,"Most people pay between $125-249 for water & sewer annually"
"CT1030011",49070,100848,43107,11.1,5.78,67.48,0.31,0.14,6.88,8.31,24.18,4.94,19.89,25.36,6.31,14.86,14.18,32.15,20.62,6.44,11.75,7.85,42.6,57.4,32.52,7.71,10.6,3643,"Most people pay between $250-499 for water & sewer annually"
