"pwsid","total_pop","mhi","hh_inc_lowest_quintile","black_alone_per","asian_alone_per","white_alone_per","AIAN_alone_per","NAPI_alone_per","other_alone_per","mixed_alone_per","hisp_alone_per","ageunder_5_per","age_over_61_per","bachelors_per","laborforce_unemployed_per","water_rate_less_125_per","water_rate_between_125_249_per","water_rate_between_250_499_per","water_rate_between_500_749_per","water_rate_between_750_999_per","water_rate_over_1000_per","hh_below_pov_per","hh_rent_home_per","hh_own_home_per","poc_alone_per","pop_in_pov_per","no_health_insurance_per","epic_pop_density","most_common_rate_tidy"
"CT1030021",49773,100855,41815,13.71,4.8,62.06,0.26,0.04,9.4,9.73,34.42,6.81,17.76,26.19,6.64,13.61,12.46,30.19,15.88,11.89,15.98,10.38,43.37,56.63,37.94,11.3,16.09,4062,"Most people pay between $250-499 for water & sewer annually"
"CT1040011",36939,63095,25520,12.22,6.75,67.99,0.7,0,3.99,8.34,18.81,3.85,20.09,11.98,6.12,22.58,7.8,22.21,13.16,6.81,27.44,11.9,47.09,52.91,32.01,10.74,6.48,1955,"Most people pay > $1000 for water & sewer annually"
"CT1040091",342,52620,23695,9.2,7.59,74,1.61,0,0.8,6.8,14.39,1.63,25.01,9.33,5.51,10.07,7.19,47.48,9.44,5.13,20.68,8.41,48.5,51.5,26,7.69,5.44,2443,"Most people pay between $250-499 for water & sewer annually"
"CT1041001",250,52620,23695,9.2,7.59,74,1.61,0,0.8,6.8,14.39,1.63,25.01,9.33,5.51,10.07,7.19,47.48,9.44,5.13,20.68,8.41,48.5,51.5,26,7.69,5.44,2475,"Most people pay between $250-499 for water & sewer annually"
"CT1050011",118,97457,48097,0,1.41,88.48,0.12,0,2.14,7.85,9.15,1.81,29.03,27.77,4.14,13.38,4.01,25.45,33.99,12.93,10.23,9.43,21.03,78.97,11.52,9.87,5.68,348,"Most people pay between $500-749 for water & sewer annually"
"CT1050131",44,125435,56156,0,3.56,94.87,0,0.18,0.81,0.57,5.28,6.91,31.72,27.22,4.81,11.43,12.86,54.29,21.43,0,0,0.68,13.74,86.26,5.13,0.34,1.84,519,"Most people pay between $250-499 for water & sewer annually"
"CT1050141",56,125435,56156,0,3.56,94.87,0,0.18,0.81,0.57,5.28,6.91,31.72,27.22,4.81,11.43,12.86,54.29,21.43,0,0,0.68,13.74,86.26,5.13,0.34,1.84,890,"Most people pay between $250-499 for water & sewer annually"
"CT1050732",1272,97457,48097,0,1.68,87.33,0.01,0,2.61,8.38,11.07,1.46,29.99,29.02,4.95,14.4,4.32,25.97,34.63,12.3,8.37,10.3,21.94,78.06,12.67,11.34,7.32,928,"Most people pay between $500-749 for water & sewer annually"
"CT1050752",886,114069,49083,0,0.54,92.1,0.48,0,0.67,6.21,3.12,2.9,26.01,24.11,1.48,0.86,0.26,19.02,26.2,20.71,32.96,6.54,18.01,81.99,7.9,5.26,0.52,1442,"Most people pay > $1000 for water & sewer annually"
"CT1051011",85,125435,56156,0,3.56,94.87,0,0.18,0.81,0.57,5.28,6.91,31.72,27.22,4.81,11.43,12.86,54.29,21.43,0,0,0.68,13.74,86.26,5.13,0.34,1.84,1231,"Most people pay between $250-499 for water & sewer annually"
"CT1056221",26,NA,NA,0,1.23,92.81,0.37,0.04,0.68,4.87,3.53,3.85,27.3,24.76,2.14,1.51,1.7,23.31,25.1,18.43,29.95,5.13,16.97,83.03,7.19,4.05,0.75,349,"Most people pay > $1000 for water & sewer annually"
"CT1056231",35,NA,NA,0,3.56,94.87,0,0.18,0.81,0.57,5.28,6.91,31.72,27.22,4.81,11.43,12.86,54.29,21.43,0,0,0.68,13.74,86.26,5.13,0.34,1.84,456,"Most people pay between $250-499 for water & sewer annually"
"CT1056241",32,NA,NA,0,0.52,92.18,0.49,0,0.64,6.18,3,2.92,25.95,24.04,1.43,0,0,18.58,25.66,21.24,34.51,6.48,17.95,82.05,7.82,5.17,0.41,274,"Most people pay > $1000 for water & sewer annually"
"CT1059251",14,NA,NA,0,3.56,94.87,0,0.18,0.81,0.57,5.28,6.91,31.72,27.22,4.81,11.43,12.86,54.29,21.43,0,0,0.68,13.74,86.26,5.13,0.34,1.84,152,"Most people pay between $250-499 for water & sewer annually"
"CT1080011",463,132531,62464,0.61,4.85,91.99,0.19,0,0.9,1.47,5.76,1.97,23.15,22.16,4.28,14.04,10.33,28.78,24.24,5.38,17.23,4.11,5.77,94.23,8.01,3.13,1.96,1476,"Most people pay between $250-499 for water & sewer annually"
