"pwsid","huc12","num_facilities","npdes_permits","total_permit_eff_viols","total_open_usts","total_facilities_w_rmps","streams_303d_list"
"CT0720101",11000030302,2,0,0,8,0,0
"CT0720313",11000030301,2,1,0,9,0,1
"CT0727031",11000030301,3,1,0,9,0,1
"CT0730021",11000020303,2,2,0,24,0,4
"CT0730031",11000020303,1,2,0,24,0,4
"CT0731011",11000010704,1,0,0,24,0,3
"CT0731021",11000010704,1,0,0,24,0,3
"CT0740011",11000050702,2,3,0,22,0,0
"CT0740301",11000051105,3,2,0,43,0,5
"CT0743011",11000050702,2,3,0,22,0,0
"CT0745093",11000051105,2,2,0,43,0,5
"CT0760021",11000040202,2,0,0,15,0,2
"CT0765101",11000040202,3,0,0,15,0,2
"CT0770021",10802050402,15,5,0,158,0,8
"CT0770021",10802050504,1,0,0,4,0,0
"CT0770041",10802050503,2,1,0,22,0,0
"CT0780021",11000020108,4,2,0,83,0,1
"CT0780021",11000020204,3,0,0,25,0,1
"CT0780041",11000020108,1,2,0,83,0,1
"CT0780051",11000020204,3,0,0,25,0,1
"CT0780061",11000020108,4,2,0,83,0,1
"CT0780091",11000020108,2,2,0,83,0,1
"CT0780101",11000020108,1,2,0,83,0,1
"CT0780121",11000020204,1,0,0,25,0,1
"CT0780131",11000020205,2,1,0,7,0,0
"CT0780161",11000020204,1,0,0,25,0,1
"CT0780161",11000020206,1,0,0,15,0,3
"CT0780171",11000020108,3,2,0,83,0,1
"CT0780181",11000020108,2,2,0,83,0,1
"CT0780211",11000020108,1,2,0,83,0,1
"CT0780251",11000020204,1,0,0,25,0,1
"CT0787011",11000020108,2,2,0,83,0,1
"CT0790011",10802050801,2,0,0,5,0,1
"CT0790031",10802050801,2,0,0,5,0,1
"CT0790041",10802050801,2,0,0,5,0,1
"CT0791001",10802050805,2,0,0,2,0,0
"CT0791201",10802050801,2,0,0,5,0,1
"CT0792011",10802050805,2,0,0,2,0,0
"CT0798013",10802050402,1,5,0,158,0,8
"CT0798013",10802050801,3,0,0,5,0,1
"CT0798013",10802050805,4,0,0,2,0,0
"CT0800011",10802050601,2,0,0,55,1,8
"CT0800011",11000040103,10,3,0,211,2,14
"CT0800011",11000040105,2,4,0,219,3,10
"CT0815051",11000051204,2,0,0,22,0,2
"CT0819061",11000051002,3,1,0,8,0,0
"CT0820031",10802050602,1,1,0,21,0,2
"CT0820501",10802050602,1,1,0,21,0,2
"CT0826061",10802050602,2,1,0,21,0,2
"CT0827071",10802050602,2,1,0,21,0,2
"CT0827081",10802050602,1,1,0,21,0,2
"CT0830011",10802050603,5,2,0,40,1,4
"CT0830011",10802050702,10,4,0,66,1,4
"CT0830021",10802050702,5,4,0,66,1,4
