"pwsid","date_issued","date_lifted","epic_date_lifted_flag","type","state"
"LA1001003   ","2020-07-16","2020-07-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-08-08","2020-08-08","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-08-20","2020-08-29","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-12-06","2020-12-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-02-04","2020-02-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001003   ","2020-03-27","2020-04-02","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001007   ","2020-08-25","2020-08-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001007   ","2020-08-28","2020-08-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001024   ","2020-07-25","2020-07-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001024   ","2020-09-23","2020-09-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001025   ","2020-07-22","2020-07-26","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001025   ","2020-08-26","2020-09-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001025   ","2020-10-30","2020-10-30","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001025   ","2020-03-17","2020-03-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001026   ","2020-04-11","2020-04-15","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1001026   ","2020-06-12","2020-06-13","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003002   ","2020-08-16","2020-09-04","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003002   ","2020-09-20","2020-09-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003002   ","2020-03-19","2020-03-21","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-07-18","2020-07-19","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-08-05","2020-08-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-08-07","2020-08-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-03","2020-09-06","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-09","2020-09-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-13","2020-09-14","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-16","2020-09-20","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-20","2020-09-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-09-20","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-10-01","2020-10-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-12-19","2020-01-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-04-08","2020-04-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-04-22","2020-04-25","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-05-19","2020-05-22","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-06-09","2020-06-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-06-19","2020-06-24","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003003   ","2020-06-25","2020-06-27","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003005   ","2020-08-05","2020-08-03","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003005   ","2020-02-05","2020-02-05","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003005   ","2020-02-11","2020-02-11","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
"LA1003005   ","2020-03-06","2020-03-07","Reported","system_issued_boil_advisory_1yr","Louisiana - BWA, 1yr"
