"pwsid","pw_int_hh.redlining","pw_int_pop.life_expectancy","pw_int_pop.cancer","a_int.overall_cvi_score"
"CT0180231",0,80.5,7.8,0.41
"CT0180251",0,80.5,7.8,0.45
"CT0184011",0,83.2,7.4,0.42
"CT0189971",0,80.5,7.8,0.41
"CT0190051",NA,NA,NA,0.45
"CT0199091",NA,NA,NA,0.45
"CT0201011",0,83.4,7.3,0.4
"CT0201021",0,79,8.1,0.4
"CT0210011",0,85.6,9.2,0.41
"CT0220011",0,NA,7.3,0.41
"CT0220191",0,NA,7.3,0.41
"CT0229031",0,NA,7.3,0.41
"CT0230011",0,81.8,8,0.39
"CT0231011",NA,NA,NA,0.4
"CT0248011",NA,NA,NA,0.42
"CT0251021",NA,NA,NA,0.45
"CT0261001",NA,NA,NA,0.4
"CT0261031",0,80.7,9,0.4
"CT0261081",NA,NA,NA,0.4
"CT0270041",0,NA,7.7,0.43
"CT0270091",0,NA,7.7,0.42
"CT0270101",0,NA,7.7,0.43
"CT0270111",0,NA,7.7,0.43
"CT0280011",0,78.2,7.9,0.44
"CT0280031",NA,NA,NA,0.41
"CT0280041",0,78.4,6.2,0.41
"CT0280051",0,78.4,6.2,0.41
"CT0280071",NA,NA,NA,0.41
"CT0282001",0,78.4,6.2,0.41
"CT0286011",0,80,7,0.43
"CT0300011",0,81.9,7.9,0.37
"CT0300071",0,81.9,7.9,0.37
"CT0309051",NA,NA,NA,0.37
"CT0310011",0,NA,9.5,0.39
"CT0311021",0,NA,9.5,0.39
"CT0320011",0,79.7,6.6,0.38
"CT0320021",0,79.7,6.6,0.38
"CT0320031",0,79.7,6.6,0.38
"CT0320041",0,83.2,7,0.38
"CT0320051",0,79.7,6.6,0.38
"CT0320061",0,83.2,7,0.38
"CT0320071",0,83.2,7,0.38
"CT0320091",0,83.2,7,0.38
"CT0320171",0,79.7,6.6,0.38
"CT0320181",0,79.7,6.6,0.38
"CT0330011",0,81.5,7.9,0.44
"CT0340011",0,80.8,5.7,0.46
"CT0340051",0,83.4,7.2,0.42
