"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0727051",-4.12,-31.46,-12.14,-30.89,-7.34,114.29,22.22,300,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.12,-12.14
"CT0727091",8.82,-42.31,-5.34,-11.65,12.41,-30,33.33,-33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",8.82,-5.34
"CT0730021",-3.9,-66.67,-5.63,-12.21,0,100,14.29,50,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.9,-5.63
"CT0730031",-2.46,-60,-5.63,-12.21,-2.08,50,14.29,50,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.46,-5.63
"CT0731011",-3.16,-50,NA,NA,0,0,14.29,50,NA,"Decrease in people the last 10 years",-3.16,NA
"CT0731021",1.85,100,12.13,1.37,5,100,42.86,16.67,"Increase in income the last 10 years","Increase in people the last 10 years",1.85,12.13
"CT0740011",-4.17,32.88,-1.34,13.07,-4.06,-12.31,200,50,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.17,-1.34
"CT0740301",-9.26,200,NA,NA,-10,0,183.33,700,NA,"Decrease in people the last 10 years",-9.26,NA
"CT0743011",-5.13,-50,13.31,-18.18,8.51,-25,50,-50,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.13,13.31
"CT0745093",0,0,NA,NA,-8.33,-100,350,0,NA,NA,0,NA
"CT0760021",-2.54,0,18.55,24.87,0,0,60,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.54,18.55
"CT0765101",8.6,66.67,9.37,16.2,6.06,NA,120,50,"Increase in income the last 10 years","Increase in people the last 10 years",8.6,9.37
"CT0770021",2.52,-40.81,1.61,0.36,1.68,46.81,52,37.5,"Increase in income the last 10 years","Increase in people the last 10 years",2.52,1.61
"CT0770041",3.86,-63.64,-17.74,-45.24,1.89,61.29,39.39,25,"Decrease in income the last 10 years","Increase in people the last 10 years",3.86,-17.74
"CT0780021",8.08,-30.39,-0.35,-49.74,18.62,59.71,-4.55,30,"Decrease in income the last 10 years","Increase in people the last 10 years",8.08,-0.35
"CT0780041",-9.68,-33.33,NA,NA,-2.86,133.33,37.5,50,NA,"Decrease in people the last 10 years",-9.68,NA
"CT0780051",-9.68,-25,NA,NA,-2.13,100,37.5,50,NA,"Decrease in people the last 10 years",-9.68,NA
"CT0780061",1.92,-18.18,-24.63,30.37,-7.14,0,-4.17,11.43,"Decrease in income the last 10 years","Increase in people the last 10 years",1.92,-24.63
"CT0780081",9.72,200,NA,NA,28.57,450,50,237.5,NA,"Increase in people the last 10 years",9.72,NA
"CT0780091",-7.69,0,-24.63,30.37,-10.53,0,0,8.82,"Decrease in income the last 10 years","Decrease in people the last 10 years",-7.69,-24.63
"CT0780101",-8.7,25,-24.63,30.37,-12.5,-6.67,0,8.82,"Decrease in income the last 10 years","Decrease in people the last 10 years",-8.7,-24.63
"CT0780121",-8.75,-20,NA,NA,-1.64,116.67,31.25,60,NA,"Decrease in people the last 10 years",-8.75,NA
"CT0780131",11.11,NA,NA,NA,28.57,NA,50,237.5,NA,"Increase in people the last 10 years",11.11,NA
"CT0780161",-8.7,0,NA,NA,0,200,31.25,60,NA,"Decrease in people the last 10 years",-8.7,NA
"CT0780171",-8.55,33.33,-24.63,30.37,-11.43,-9.09,0,8.82,"Decrease in income the last 10 years","Decrease in people the last 10 years",-8.55,-24.63
"CT0780181",-8.73,33.33,NA,NA,-10.81,-8.33,0,8.82,NA,"Decrease in people the last 10 years",-8.73,NA
"CT0780211",-8.87,14.29,-24.63,30.37,-12.33,-8.33,0,8.82,"Decrease in income the last 10 years","Decrease in people the last 10 years",-8.87,-24.63
"CT0780251",9.84,100,NA,NA,34.78,350,50,237.5,NA,"Increase in people the last 10 years",9.84,NA
"CT0787011",-7.69,0,-24.63,30.37,-10.53,0,0,8.82,"Decrease in income the last 10 years","Decrease in people the last 10 years",-7.69,-24.63
"CT0787091",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT0787111",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT0787121",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT0790011",-2.63,20,-5.21,-20.53,-2.5,NA,250,800,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.63,-5.21
"CT0790031",-3.21,22.22,NA,NA,-2.63,500,250,800,NA,"Decrease in people the last 10 years",-3.21,NA
"CT0790041",-3.26,25,-5.21,-20.53,-3.12,NA,250,800,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.26,-5.21
"CT0791001",-4.35,0,-5.21,-20.53,-6.25,NA,250,800,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.35,-5.21
"CT0791201",0,0,NA,NA,-10,NA,250,800,NA,NA,0,NA
"CT0792011",-2.7,0,-5.21,-20.53,-7.69,NA,250,800,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.7,-5.21
"CT0798013",1.06,23.08,0.44,-11.52,-3.47,0,50,100,"Increase in income the last 10 years","Increase in people the last 10 years",1.06,0.44
"CT0800011",0.41,-22.33,-1.51,0.56,5.93,-0.16,6.67,-13.33,"Decrease in income the last 10 years","Increase in people the last 10 years",0.41,-1.51
"CT0815051",0,-50,3.88,-15.94,8.33,NA,28.57,66.67,"Increase in income the last 10 years",NA,0,3.88
"CT0819061",3.57,-100,2.03,-22.35,20,NA,33.33,-50,"Increase in income the last 10 years","Increase in people the last 10 years",3.57,2.03
"CT0820031",-3.12,-100,NA,NA,8.33,100,0,200,NA,"Decrease in people the last 10 years",-3.12,NA
"CT0820501",-2.63,-100,NA,NA,0,100,0,200,NA,"Decrease in people the last 10 years",-2.63,NA
"CT0826061",-2,-100,-7.06,-21.33,5.26,200,0,200,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2,-7.06
"CT0827071",-3.23,-70,-7.06,-21.33,5.61,220,0,200,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.23,-7.06
"CT0827081",-3.7,-66.67,-7.06,-21.33,6.45,400,0,200,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.7,-7.06
"CT0830011",-0.08,-27.91,-6.16,-6.03,1.66,28.3,25,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-0.08,-6.16
"CT0830021",-5.48,5.88,-14.95,23.97,-2.75,13.64,38.1,-18.75,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.48,-14.95
"CT0860011",-7.24,-55.56,3.34,-4.9,-6.47,-48.57,50,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.24,3.34
"CT0860021",10.37,-23.73,-6.99,-10.05,4.35,4.55,3.45,50,"Decrease in income the last 10 years","Increase in people the last 10 years",10.37,-6.99
"CT0860031",-7.22,-58.33,3.34,-4.9,-6.6,-50,33.33,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.22,3.34
"CT0860041",-13.57,-26.09,11.75,45.18,-9.89,-25,-11.63,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-13.57,11.75
"CT0860051",-6.67,-100,NA,NA,-5.88,0,50,-20,NA,"Decrease in people the last 10 years",-6.67,NA
"CT0860081",-6.01,-62.5,26.45,33.57,-13.91,-30,-18.75,-40,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.01,26.45
"CT0860091",-7.89,-100,NA,NA,-7.14,0,50,-20,NA,"Decrease in people the last 10 years",-7.89,NA
"CT0860131",-6.24,-61.54,26.45,33.57,-13.52,-35.29,-18.75,-40,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.24,26.45
"CT0860141",-14.01,-20,NA,NA,-8.11,0,-11.63,0,NA,"Decrease in people the last 10 years",-14.01,NA
"CT0860171",-7.59,-50,3.34,-4.9,-6.9,-50,50,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.59,3.34
"CT0860191",-7.27,-50,NA,NA,-13.04,-50,-18.75,-40,NA,"Decrease in people the last 10 years",-7.27,NA
"CT0860211",-5.8,-66.67,NA,NA,-10.71,-50,-18.75,-40,NA,"Decrease in people the last 10 years",-5.8,NA
"CT0861021",-6,-50,NA,NA,-14.29,0,-12.5,-20,NA,"Decrease in people the last 10 years",-6,NA
"CT0861051",11.76,0,NA,NA,0,NA,3.45,50,NA,"Increase in people the last 10 years",11.76,NA
"CT0861111",-6.56,-50,7.46,2.43,-12,-50,-13.33,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.56,7.46
"CT0861251",-6.52,-50,3.34,-4.9,-5.88,-50,50,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.52,3.34
"CT0864011",-3.81,-29.01,3.58,11.37,-4.1,-12.99,-6.06,20,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.81,3.58
"CT0866301",-7.96,-50,3.34,-4.9,-7.14,-33.33,50,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.96,3.34
"CT0867071",-6.45,-66.67,NA,NA,-15.38,-50,-18.75,-40,NA,"Decrease in people the last 10 years",-6.45,NA
"CT0867101",-6.58,-60,25.59,33.19,-12.24,-42.86,-7.14,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.58,25.59
"CT0868011",-6.9,-100,3.34,-4.9,-9.09,-100,50,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.9,3.34
"CT0869011",9.09,0,NA,NA,0,NA,3.45,50,NA,"Increase in people the last 10 years",9.09,NA
"CT0869121",-7.95,-50,NA,NA,-6.06,-50,50,-20,NA,"Decrease in people the last 10 years",-7.95,NA
"CT0878011",-8.33,100,NA,NA,-5.88,0,150,33.33,NA,"Decrease in people the last 10 years",-8.33,NA
"CT0878021",-11.76,NA,-9.88,7.31,-14.29,NA,400,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-11.76,-9.88
"CT0880011",-0.66,-36.32,13.76,13.17,-1.28,-46.75,50,-28.57,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.66,13.76
"CT0880031",-15.62,-53.85,4.17,26.74,-12.28,-11.11,26.67,-14.29,"Increase in income the last 10 years","Decrease in people the last 10 years",-15.62,4.17
"CT0890011",1.49,-33.21,5.37,11.75,-1.5,2.14,18.18,-5,"Increase in income the last 10 years","Increase in people the last 10 years",1.49,5.37
"CT0900011",-0.59,100,-3.65,-0.78,5.17,100,50,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-0.59,-3.65
"CT0910011",4.72,-29.27,-9.55,-35.26,2.86,325,114.29,500,"Decrease in income the last 10 years","Increase in people the last 10 years",4.72,-9.55
"CT0910021",2.61,-20,-9.55,-35.26,1.96,100,100,150,"Decrease in income the last 10 years","Increase in people the last 10 years",2.61,-9.55
"CT0910031",3.74,-15.38,-8.26,-29.49,1.77,300,100,500,"Decrease in income the last 10 years","Increase in people the last 10 years",3.74,-8.26
"CT0910041",-5.47,-53.85,17.64,-9.39,-12.63,-37.5,100,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.47,17.64
"CT0910081",-8.97,-56.25,17.64,-9.39,-15.79,0,125,33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-8.97,17.64
"CT0910591",-8.66,-51.72,17.64,-9.39,-15.38,0,125,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-8.66,17.64
"CT0911061",-8.67,-50,NA,NA,-14.29,0,125,33.33,NA,"Decrease in people the last 10 years",-8.67,NA
"CT0911091",-7.69,0,17.64,-9.39,-20,NA,125,33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.69,17.64
"CT0915221",-2.83,40,18.61,-4.99,-2.86,NA,33.33,200,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.83,18.61
"CT0920011",-3.18,-16,0.03,10.03,-0.61,-42.11,0,-66.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.18,0.03
"CT0920041",-2.56,0,NA,NA,-3.33,0,0,-66.67,NA,"Decrease in people the last 10 years",-2.56,NA
"CT0930011",0.74,-27.83,3.56,0.76,0.48,10.42,32.14,0,"Increase in income the last 10 years","Increase in people the last 10 years",0.74,3.56
"CT0950011",0.45,-39.58,0.57,-5.05,5.79,33.13,17.95,41.18,"Increase in income the last 10 years","Increase in people the last 10 years",0.45,0.57
"CT0960011",3.92,-21.17,-3.99,-3.73,2.47,40,50,50,"Decrease in income the last 10 years","Increase in people the last 10 years",3.92,-3.99
"CT0960031",20.41,-36.67,-0.66,-0.59,8.47,-22.22,35.71,-42.86,"Decrease in income the last 10 years","Increase in people the last 10 years",20.41,-0.66
"CT0960061",-3.02,-40,-0.01,-1.22,-3.05,14.29,62.5,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.02,-0.01
"CT0960071",-1.04,-33.33,-6.83,4.61,-1.08,-16.67,33.33,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-1.04,-6.83
"CT0960091",-4.32,-40,-0.01,-1.22,-4.38,14.29,71.43,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.32,-0.01
"CT0960101",-4.74,-41.67,-0.01,-1.22,-4.19,0,71.43,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.74,-0.01
"CT0960141",13.58,-38.46,-2.98,-3.59,5.77,-14.29,41.67,-42.86,"Decrease in income the last 10 years","Increase in people the last 10 years",13.58,-2.98
"CT0960151",-5,-42.86,-0.01,-1.22,-4.76,33.33,71.43,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5,-0.01
"CT0960161",-5.36,23.08,11.12,16.4,-6.36,-25,27.27,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.36,11.12
"CT0960171",-3.68,-40,20.56,25.52,-3.85,50,42.86,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.68,20.56
"CT0960191",-5.1,33.33,11.12,16.4,-5.56,0,27.27,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.1,11.12
"CT0960201",-5.32,28.57,12.12,16.74,-6.56,-28.57,27.27,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.32,12.12
"CT0960211",-3.16,-25,-0.01,-1.22,-2.63,0,62.5,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.16,-0.01
"CT0960301",-5.61,31.58,11.12,16.4,-6.59,-16.67,27.27,-33.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.61,11.12
"CT0968011",-5.88,-33.33,-0.01,-1.22,-7.41,100,71.43,-28.57,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.88,-0.01
"CT0969361",0,75,NA,NA,4.17,200,200,650,NA,NA,0,NA
"CT0970011",0,NA,NA,NA,0,NA,120,0,NA,NA,0,NA
"CT0970021",9.76,28.57,33.99,78.76,5.06,50,36.36,33.33,"Increase in income the last 10 years","Increase in people the last 10 years",9.76,33.99
"CT0970071",4.4,-33.33,-22.39,-25.64,9.09,100,140,33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",4.4,-22.39
"CT0971011",9.52,0,33.99,78.76,7.69,NA,36.36,33.33,"Increase in income the last 10 years","Increase in people the last 10 years",9.52,33.99
"CT0980011",8.28,-42.11,-4.44,-9.58,-0.96,72.73,150,83.33,"Decrease in income the last 10 years","Increase in people the last 10 years",8.28,-4.44
"CT0990011",-4.39,-25,-0.52,-0.77,-2.83,50,100,50,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.39,-0.52
"CT0990031",-6.67,0,NA,NA,-12.5,NA,166.67,0,NA,"Decrease in people the last 10 years",-6.67,NA
"CT1000011",-3.56,-52.31,13.38,-23.86,-11.42,79.31,100,28.57,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.56,13.38
"CT1020011",-2.31,-40,-12.36,-24,-1.89,20,75,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.31,-12.36
"CT1020021",-2.27,-44.44,-12.36,-24,-2.22,11.11,75,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.27,-12.36
"CT1021001",-1.94,-50,-12.36,-24,0,0,40,20,"Decrease in income the last 10 years","Decrease in people the last 10 years",-1.94,-12.36
"CT1030011",4.74,20.69,1.38,-10.34,0.81,28.68,65,60,"Increase in income the last 10 years","Increase in people the last 10 years",4.74,1.38
"CT1030021",6.66,-19.29,8.94,1.67,-6.53,1.57,26.67,0,"Increase in income the last 10 years","Increase in people the last 10 years",6.66,8.94
"CT1040011",-0.36,-29.84,1.81,-12.85,3.14,-11.67,6.67,-26.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.36,1.81
"CT1040091",-2.84,-9.09,-13.32,-24.63,19.71,-6.67,44.44,-46.67,"Decrease in income the last 10 years","Decrease in people the last 10 years",-2.84,-13.32
"CT1041001",-3.1,-12.5,-13.32,-24.63,20,-9.09,44.44,-46.67,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.1,-13.32
"CT1050011",-20.81,50,-16.4,-8.06,-20.63,150,200,150,"Decrease in income the last 10 years","Decrease in people the last 10 years",-20.81,-16.4
"CT1050131",0,NA,14.12,0.47,-5.26,NA,150,-100,"Increase in income the last 10 years",NA,0,14.12
"CT1050141",0,0,14.12,0.47,-4.17,NA,150,-100,"Increase in income the last 10 years",NA,0,14.12
"CT1050732",-29.92,71.43,-16.4,-8.06,-28.22,133.33,225,175,"Decrease in income the last 10 years","Decrease in people the last 10 years",-29.92,-16.4
"CT1050752",33.43,-12.5,-2.15,-6.17,28.67,155.56,100,25,"Decrease in income the last 10 years","Increase in people the last 10 years",33.43,-2.15
"CT1051011",0,100,14.12,0.47,-5.56,NA,150,-100,"Increase in income the last 10 years",NA,0,14.12
"CT1056221",23.81,NA,NA,NA,11.11,NA,133.33,0,NA,"Increase in people the last 10 years",23.81,NA
"CT1056231",0,NA,NA,NA,-6.67,NA,150,-100,NA,NA,0,NA
"CT1056241",33.33,NA,NA,NA,30,NA,100,25,NA,"Increase in people the last 10 years",33.33,NA
"CT1059251",0,NA,NA,NA,-16.67,NA,150,-100,NA,NA,0,NA
"CT1080011",1.54,-38.89,28.74,52.23,2.99,0,14.29,0,"Increase in income the last 10 years","Increase in people the last 10 years",1.54,28.74
"CT1090031",0.49,-50.43,-6.13,7.49,10.59,-44.34,175,-70,"Decrease in income the last 10 years","Increase in people the last 10 years",0.49,-6.13
"CT1090081",-4.32,-42.07,-2.03,-2.56,5.21,33.67,125,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.32,-2.03
"CT1090161",-3.54,0,0.84,-22.2,12.5,0,133.33,-21.43,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.54,0.84
"CT1090221",-5.97,-80,-4.81,21.32,0,50,66.67,11.11,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.97,-4.81
"CT1094201",-5.67,-76.92,-4.81,21.32,-1.33,60,66.67,11.11,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.67,-4.81
"CT1099131",-6.12,-66.67,NA,NA,0,100,66.67,11.11,NA,"Decrease in people the last 10 years",-6.12,NA
"CT1099141",-5.97,-80,-4.81,21.32,0,50,66.67,11.11,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.97,-4.81
"CT1099181",-6.67,-66.67,NA,NA,0,100,66.67,11.11,NA,"Decrease in people the last 10 years",-6.67,NA
"CT1100011",-0.59,-53.2,3.87,-4.59,4.32,5.04,142.86,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.59,3.87
"CT1110011",-5.25,-57,-6.55,-12.93,0.65,32.93,166.67,33.33,"Decrease in income the last 10 years","Decrease in people the last 10 years",-5.25,-6.55
"CT1120041",0,-100,NA,NA,0,NA,0,60,NA,NA,0,NA
"CT1120051",0.62,-33.33,1.64,-20.03,10.17,33.33,0,60,"Increase in income the last 10 years","Increase in people the last 10 years",0.62,1.64
"CT1120061",0,-33.33,1.64,-20.03,12,100,0,60,"Increase in income the last 10 years",NA,0,1.64
"CT1121011",0,NA,NA,NA,50,NA,0,60,NA,NA,0,NA
"CT1121131",0,NA,NA,NA,0,NA,0,60,NA,NA,0,NA
"CT1130011",-0.62,-34.43,-15.16,-17.04,-1.41,-16.76,50,-14.29,"Decrease in income the last 10 years","Decrease in people the last 10 years",-0.62,-15.16
"CT1130021",1.8,25,0.44,-11.52,-4.65,0,50,100,"Increase in income the last 10 years","Increase in people the last 10 years",1.8,0.44
"CT1140011",1.04,-16.67,2.8,4.62,-2.6,-57.14,-46.15,-81.82,"Increase in income the last 10 years","Increase in people the last 10 years",1.04,2.8
"CT1140021",0,0,NA,NA,0,-100,-46.15,-81.82,NA,NA,0,NA
"CT1150031",9.12,-78.57,0.95,-1.48,-0.75,-33.33,75,0,"Increase in income the last 10 years","Increase in people the last 10 years",9.12,0.95
"CT1160011",-5.62,-59.66,15.72,10.67,-6.16,-18.09,0,-52.94,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.62,15.72
"CT1160021",0,-100,NA,NA,0,NA,366.67,-14.29,NA,NA,0,NA
"CT1180011",3.61,-2.26,2.45,-6.53,6.01,35.43,33.33,50,"Increase in income the last 10 years","Increase in people the last 10 years",3.61,2.45
"CT1180021",-0.77,-34.62,3.44,-1.4,4.78,0,180,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.77,3.44
"CT1180041",3.56,0,-15.78,-5.5,9.2,400,366.67,250,"Decrease in income the last 10 years","Increase in people the last 10 years",3.56,-15.78
"CT1180091",-0.68,-25,NA,NA,6.38,NA,133.33,0,NA,"Decrease in people the last 10 years",-0.68,NA
"CT1189161",26.09,-33.33,NA,NA,33.33,0,100,0,NA,"Increase in people the last 10 years",26.09,NA
"CT1189171",9.09,-50,NA,NA,9.52,100,100,100,NA,"Increase in people the last 10 years",9.09,NA
"CT1200071",-8.33,NA,-8.57,-7.12,0,NA,150,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-8.33,-8.57
"CT1210011",0,NA,NA,NA,14.29,NA,11.11,66.67,NA,NA,0,NA
"CT1210021",1.49,-100,-5.85,31.66,8,0,11.11,66.67,"Decrease in income the last 10 years","Increase in people the last 10 years",1.49,-5.85
"CT1219111",0,NA,NA,NA,0,NA,11.11,66.67,NA,NA,0,NA
"CT1219141",NA,NA,NA,NA,NA,NA,NA,NA,"Not Enough Data - Operating < 10 years","Not Enough Data - Operating < 10 years",NA,NA
"CT1220011",7,251.85,5.09,7.55,0,-60.61,-55.56,-42.86,"Increase in income the last 10 years","Increase in people the last 10 years",7,5.09
"CT1220061",5.41,100,NA,NA,0,-100,-55.56,-42.86,NA,"Increase in people the last 10 years",5.41,NA
"CT1221031",9.09,100,5.09,7.55,0,-100,-55.56,-42.86,"Increase in income the last 10 years","Increase in people the last 10 years",9.09,5.09
"CT1240011",1.5,-30.83,-7.39,3.85,8.5,-21.47,33.33,-20,"Decrease in income the last 10 years","Increase in people the last 10 years",1.5,-7.39
"CT1250011",-4.39,-53.85,6.73,2.88,2.55,25,11.11,140,"Increase in income the last 10 years","Decrease in people the last 10 years",-4.39,6.73
"CT1250021",-11.11,NA,6.73,2.88,0,NA,11.11,140,"Increase in income the last 10 years","Decrease in people the last 10 years",-11.11,6.73
"CT1270021",-1.91,0,-13.35,18.12,15.79,0,900,0,"Decrease in income the last 10 years","Decrease in people the last 10 years",-1.91,-13.35
"CT1280011",-2.12,22.54,20.41,14.72,-10.37,314.29,10,700,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.12,20.41
"CT1280021",-4.81,-19.05,-6.86,-18.44,-2.14,123.2,71.43,200,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.81,-6.86
"CT1280051",9.57,0,NA,NA,22.73,200,33.33,0,NA,"Increase in people the last 10 years",9.57,NA
"CT1299031",-10.63,-65,-3.15,0.96,-1.18,-37.5,-33.33,-71.43,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10.63,-3.15
"CT1300011",-6.6,-18.18,-26.98,-36.18,-4.17,-20,100,-11.11,"Decrease in income the last 10 years","Decrease in people the last 10 years",-6.6,-26.98
"CT1300021",0.91,-36.52,5.25,7.84,-0.75,27.22,140,33.33,"Increase in income the last 10 years","Increase in people the last 10 years",0.91,5.25
"CT1300031",11.91,-21.05,12.86,64.33,2.77,-100,150,-100,"Increase in income the last 10 years","Increase in people the last 10 years",11.91,12.86
"CT1300071",-7.87,-22.22,1.39,-8.23,4.55,0,33.33,-8.33,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.87,1.39
"CT1310011",1.46,-47.99,13.91,13.3,1.83,9.81,120,25,"Increase in income the last 10 years","Increase in people the last 10 years",1.46,13.91
"CT1310031",9.02,-80,NA,NA,0,-50,-10,-80,NA,"Increase in people the last 10 years",9.02,NA
"CT1330021",-0.89,-58.33,4.51,-9.91,-10.24,30.43,44.44,62.5,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.89,4.51
"CT1340011",-11.31,-56.54,9.1,16.02,-8.09,3.8,-37.5,12.5,"Increase in income the last 10 years","Decrease in people the last 10 years",-11.31,9.1
"CT1340032",-2.7,0,13.21,13.15,0,0,200,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.7,13.21
"CT1341303",2.94,-75,-15.25,-19.41,8.33,0,266.67,200,"Decrease in income the last 10 years","Increase in people the last 10 years",2.94,-15.25
"CT1350011",5.53,-40,-22.72,-20.39,10.94,100,100,0,"Decrease in income the last 10 years","Increase in people the last 10 years",5.53,-22.72
"CT1360011",-4.35,-46.67,-3.02,-28.35,8.45,22.22,80,30.77,"Decrease in income the last 10 years","Decrease in people the last 10 years",-4.35,-3.02
"CT1370011",-0.06,-28.53,17.85,15.51,2.47,-11.11,150,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-0.06,17.85
"CT1370051",6.44,-57.89,15.32,37.19,2.02,-20,700,-20,"Increase in income the last 10 years","Increase in people the last 10 years",6.44,15.32
"CT1370071",4.55,-33.33,17.76,-8.83,20,0,-11.11,-25,"Increase in income the last 10 years","Increase in people the last 10 years",4.55,17.76
"CT1390021",6.44,-56.76,-1.03,24.94,4.95,233.33,60,-33.33,"Decrease in income the last 10 years","Increase in people the last 10 years",6.44,-1.03
"CT1400011",-6.42,-48.37,11.17,-14.9,-5.5,58.51,75,66.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.42,11.17
"CT1410011",-7.14,-80.88,24.23,31.49,1.06,-37.93,100,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.14,24.23
"CT1410051",0,NA,NA,NA,0,NA,42.86,16.67,NA,NA,0,NA
"CT1410661",3.08,66.67,NA,NA,4.17,100,42.86,16.67,NA,"Increase in people the last 10 years",3.08,NA
"CT1411041",-7.44,-83.87,24.23,31.49,0.79,-38.46,50,-16.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-7.44,24.23
"CT1419071",-8.33,-100,24.23,31.49,0,NA,50,-16.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-8.33,24.23
"CT1419081",6.25,0,NA,NA,0,NA,42.86,16.67,NA,"Increase in people the last 10 years",6.25,NA
"CT1420021",-3.73,-83.33,4.51,-29.57,0,133.33,114.29,60,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.73,4.51
