"pwsid","total_pop_pct_change_2011_2021","laborforce_unemployed_pct_change_2011_2021","mhi_pct_change_2011_2021","hh_inc_lowest_quintile_pct_change_2011_2021","hh_total_pct_change_2011_2021","hh_below_pov_pct_change_2011_2021","poc_alone_per_pct_change_2011_2021","pop_in_pov_per_pct_change_2011_2021","income_change_flag","population_change_flag","total_pop_pct_change_2011_2021_cap","mhi_pct_change_2011_2021_cap"
"CT0120021",-5.5,-70,1.19,-6.01,-7.23,300,-14.29,300,"Increase in income the last 10 years","Decrease in people the last 10 years",-5.5,1.19
"CT0120031",-2.13,-50,NA,NA,-5.26,100,125,600,NA,"Decrease in people the last 10 years",-2.13,NA
"CT0120041",-1.14,-75,NA,NA,-2.94,200,125,250,NA,"Decrease in people the last 10 years",-1.14,NA
"CT0120111",-3.08,-66.67,NA,NA,-7.69,100,125,600,NA,"Decrease in people the last 10 years",-3.08,NA
"CT0121081",-4.55,-100,NA,NA,-11.11,NA,125,600,NA,"Decrease in people the last 10 years",-4.55,NA
"CT0150011",4.73,-22.48,6.45,3.94,5.74,14.2,29.63,0,"Increase in income the last 10 years","Increase in people the last 10 years",4.73,6.45
"CT0161011",5.26,0,36.18,31.3,0,NA,-40,0,"Increase in income the last 10 years","Increase in people the last 10 years",5.26,36.18
"CT0170011",0.36,-32.76,4.8,-3.37,-2.17,13.6,75,12.5,"Increase in income the last 10 years","Increase in people the last 10 years",0.36,4.8
"CT0180021",11.07,-28.57,14.02,-18.9,15.84,700,166.67,800,"Increase in income the last 10 years","Increase in people the last 10 years",11.07,14.02
"CT0180061",8.05,-21.62,-14.35,15.01,7.12,-42.55,0,-16.67,"Decrease in income the last 10 years","Increase in people the last 10 years",8.05,-14.35
"CT0180091",8.14,-28.57,-14.35,15.01,6.48,-44.44,0,-16.67,"Decrease in income the last 10 years","Increase in people the last 10 years",8.14,-14.35
"CT0180101",8.04,-14.29,-14.35,15.01,7.08,-50,0,-16.67,"Decrease in income the last 10 years","Increase in people the last 10 years",8.04,-14.35
"CT0180131",2.51,-14.29,-6.91,4.15,1.06,-50,-28.57,-66.67,"Decrease in income the last 10 years","Increase in people the last 10 years",2.51,-6.91
"CT0180171",9.47,0,21.74,-2.26,14.29,NA,166.67,700,"Increase in income the last 10 years","Increase in people the last 10 years",9.47,21.74
"CT0180181",8.39,0,NA,NA,7.69,-25,0,-16.67,NA,"Increase in people the last 10 years",8.39,NA
"CT0180201",7.58,-50,-14.35,15.01,8.33,-50,0,-16.67,"Decrease in income the last 10 years","Increase in people the last 10 years",7.58,-14.35
"CT0180231",3.08,-50,-6.91,4.15,0,-100,-28.57,-66.67,"Decrease in income the last 10 years","Increase in people the last 10 years",3.08,-6.91
"CT0180251",10.98,-14.29,14.02,-18.9,15.84,700,166.67,800,"Increase in income the last 10 years","Increase in people the last 10 years",10.98,14.02
"CT0184011",7.14,0,-14.35,15.01,6.45,-66.67,0,-16.67,"Decrease in income the last 10 years","Increase in people the last 10 years",7.14,-14.35
"CT0189971",0,NA,-6.91,4.15,0,NA,-28.57,-66.67,"Decrease in income the last 10 years",NA,0,-6.91
"CT0190051",5,0,NA,NA,0,0,33.33,-25,NA,"Increase in people the last 10 years",5,NA
"CT0199091",1.82,-33.33,NA,NA,5.26,-50,55.56,-37.5,NA,"Increase in people the last 10 years",1.82,NA
"CT0201011",-2.3,200,2.92,9.83,0,0,300,-50,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.3,2.92
"CT0201021",1.31,33.33,43.45,50.47,1.75,200,200,33.33,"Increase in income the last 10 years","Increase in people the last 10 years",1.31,43.45
"CT0210011",1.74,-25,1.26,-28.77,3.94,185.71,25,133.33,"Increase in income the last 10 years","Increase in people the last 10 years",1.74,1.26
"CT0220011",-1.37,-50,9.98,-3.5,6.9,100,166.67,200,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.37,9.98
"CT0220191",0,NA,9.98,-3.5,0,NA,166.67,200,"Increase in income the last 10 years",NA,0,9.98
"CT0229031",-1.43,-50,9.98,-3.5,3.57,NA,166.67,200,"Increase in income the last 10 years","Decrease in people the last 10 years",-1.43,9.98
"CT0230011",-2.27,-66.35,8.97,2.91,0.78,-12.06,140,-20,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.27,8.97
"CT0231011",-1.85,-50,NA,NA,4.55,0,200,-20,NA,"Decrease in people the last 10 years",-1.85,NA
"CT0248011",-10.34,-100,NA,NA,0,NA,1100,25,NA,"Decrease in people the last 10 years",-10.34,NA
"CT0251021",2.78,0,NA,NA,7.14,0,-38.46,100,NA,"Increase in people the last 10 years",2.78,NA
"CT0261001",-5.88,-100,NA,NA,0,NA,200,0,NA,"Decrease in people the last 10 years",-5.88,NA
"CT0261031",-2.73,-35.96,1.02,-3.36,1.28,15.71,40,0,"Increase in income the last 10 years","Decrease in people the last 10 years",-2.73,1.02
"CT0261081",-4.55,-50,NA,NA,-3.85,0,100,20,NA,"Decrease in people the last 10 years",-4.55,NA
"CT0270041",6.17,0,22.14,-13.28,0,0,60,25,"Increase in income the last 10 years","Increase in people the last 10 years",6.17,22.14
"CT0270091",5.42,-40,22.14,-13.28,0,0,60,25,"Increase in income the last 10 years","Increase in people the last 10 years",5.42,22.14
"CT0270101",6.09,-33.33,22.14,-13.28,2.22,0,60,25,"Increase in income the last 10 years","Increase in people the last 10 years",6.09,22.14
"CT0270111",5.88,-33.33,22.14,-13.28,0,0,60,25,"Increase in income the last 10 years","Increase in people the last 10 years",5.88,22.14
"CT0280011",5.74,76.12,-6.42,12.2,8.75,113.95,100,40,"Decrease in income the last 10 years","Increase in people the last 10 years",5.74,-6.42
"CT0280031",-12.96,0,NA,NA,-5.26,NA,116.67,700,NA,"Decrease in people the last 10 years",-12.96,NA
"CT0280041",-13.13,0,-6.03,-36.48,-2.94,200,116.67,700,"Decrease in income the last 10 years","Decrease in people the last 10 years",-13.13,-6.03
"CT0280051",-13.46,0,-6.03,-36.48,-5.56,NA,116.67,700,"Decrease in income the last 10 years","Decrease in people the last 10 years",-13.46,-6.03
"CT0280071",-12.82,0,NA,NA,-7.14,NA,116.67,700,NA,"Decrease in people the last 10 years",-12.82,NA
"CT0282001",-13.4,-20,-6.03,-36.48,-3,300,116.67,700,"Decrease in income the last 10 years","Decrease in people the last 10 years",-13.4,-6.03
"CT0286011",8.47,-58.33,24.14,14.34,5.41,150,350,150,"Increase in income the last 10 years","Increase in people the last 10 years",8.47,24.14
"CT0300011",-3.41,-25,4.63,-41.45,5.88,100,0,25,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.41,4.63
"CT0300071",-3.17,-33.33,NA,NA,8.33,0,0,25,NA,"Decrease in people the last 10 years",-3.17,NA
"CT0309051",-2.56,0,NA,NA,6.67,0,0,25,NA,"Decrease in people the last 10 years",-2.56,NA
"CT0310011",-6.54,0,6.74,2.23,2.22,-25,300,-18.18,"Increase in income the last 10 years","Decrease in people the last 10 years",-6.54,6.74
"CT0311021",-8.33,NA,6.74,2.23,0,NA,300,-18.18,"Increase in income the last 10 years","Decrease in people the last 10 years",-8.33,6.74
"CT0320011",-10.15,-11.11,-11.45,-9.46,-2.56,66.67,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10.15,-11.45
"CT0320021",-10.23,-18.18,-11.45,-9.46,-2.76,37.5,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10.23,-11.45
"CT0320031",-10.23,-25,-11.45,-9.46,-2.94,33.33,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10.23,-11.45
"CT0320041",9.15,-45.45,-14.52,-21.61,7.69,-50,60,25,"Decrease in income the last 10 years","Increase in people the last 10 years",9.15,-14.52
"CT0320051",-10.18,-9.09,-11.45,-9.46,-3.03,50,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10.18,-11.45
"CT0320061",9.36,-50,-14.52,-21.61,7.94,-33.33,60,25,"Decrease in income the last 10 years","Increase in people the last 10 years",9.36,-14.52
"CT0320071",9.25,-50,-14.52,-21.61,7.64,-50,60,25,"Decrease in income the last 10 years","Increase in people the last 10 years",9.25,-14.52
"CT0320091",9.05,-50,-14.52,-21.61,7.98,-55.56,60,25,"Decrease in income the last 10 years","Increase in people the last 10 years",9.05,-14.52
"CT0320171",-9.68,0,-11.45,-9.46,0,0,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-9.68,-11.45
"CT0320181",-10,NA,-11.45,-9.46,0,NA,125,100,"Decrease in income the last 10 years","Decrease in people the last 10 years",-10,-11.45
"CT0330011",2.23,-17.97,-3.71,-13.43,0.25,52.41,112.5,66.67,"Decrease in income the last 10 years","Increase in people the last 10 years",2.23,-3.71
"CT0340011",8.69,-16.88,-2.22,-3.83,10.41,9.37,43.75,9.09,"Decrease in income the last 10 years","Increase in people the last 10 years",8.69,-2.22
"CT0340051",3.64,-50,8.92,-3.11,0,0,52.94,0,"Increase in income the last 10 years","Increase in people the last 10 years",3.64,8.92
"CT0340081",-3.1,0,16.75,14.85,0,-42.86,72.73,-66.67,"Increase in income the last 10 years","Decrease in people the last 10 years",-3.1,16.75
"CT0340111",6.69,-53.33,13.83,-2.48,3.94,0,56.25,0,"Increase in income the last 10 years","Increase in people the last 10 years",6.69,13.83
"CT0340131",4.89,-44.12,13.83,-2.48,3.99,140,73.33,100,"Increase in income the last 10 years","Increase in people the last 10 years",4.89,13.83
"CT0340141",7.32,-50,NA,NA,3.12,NA,56.25,0,NA,"Increase in people the last 10 years",7.32,NA
"CT0340151",-3.75,7.69,-11.32,-50.06,4.93,466.67,190,600,"Decrease in income the last 10 years","Decrease in people the last 10 years",-3.75,-11.32
"CT0340171",14.96,-5.56,-28.01,-22.08,-5.43,29.17,120,100,"Decrease in income the last 10 years","Increase in people the last 10 years",14.96,-28.01
"CT0340181",9.81,-43.75,-6.22,-4.63,-1.91,-56.25,54.17,-44.44,"Decrease in income the last 10 years","Increase in people the last 10 years",9.81,-6.22
"CT0340191",4.08,-42.86,13.83,-2.48,4.07,175,85.71,150,"Increase in income the last 10 years","Increase in people the last 10 years",4.08,13.83
"CT0340211",67.93,-9.09,-1.4,69.01,80.3,-71.43,60,-75,"Decrease in income the last 10 years","Increase in people the last 10 years",67.93,-1.4
