"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"RI1900020","Paige Associates","RI","<=500",120,34,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1900020&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900020",0.11
"RI1900034","Nasonville Water District","RI","<=500",150,50,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1900034&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900034",0.08
"RI1900042","Tiverton Water Authority, Town Hall","RI","501-3,300",3213,694,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1900042&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900042",1.36
"RI1900046","United States Navy -Fort Adams","RI","<=500",320,45,"Other Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1900046&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900046",0.01
"RI1900051","Warwick-Potowomut","RI","501-3,300",2163,865,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1900051&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900051",0.02
"RI1900053","Canonchet Cliffs Water Association Inc.","RI","<=500",154,10,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1900053&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1900053",0.03
"RI2000053","Sunset Cove Properties Llc","RI","<=500",30,19,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2000053&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2000053",0.74
"RI2000059","Harmony Hill School, Inc.","RI","<=500",199,8,"School","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2000059&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2000059",2.22
"RI2000083","Hebert Health Center","RI","<=500",200,1,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2000083&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2000083",0.39
"RI2000165","Kingston Center","RI","<=500",77,1,"Institution","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2000165&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2000165",0.04
"RI2051311","Heritage Park Home Co-Operative","RI","<=500",60,31,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2051311&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2051311",0.03
"RI2519424","Chimera Inc","RI","<=500",133,34,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2519424&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2519424",0.02
"RI2585312","Split Rock Corporation","RI","<=500",138,55,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2585312&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2585312",0.09
"RI2585313","Mobile Village, Inc.","RI","<=500",130,52,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2585313&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2585313",0.1
"RI2674924","Border Hill Mobile Home Park","RI","<=500",75,54,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI2674924&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI2674924",0.09
