"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"RI1592018","North Tiverton Fire District","RI","3,301-10,000",8969,2577,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1592018&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592018",2.98
"RI1592020","Zz*In*Pascoag Utility District,Water Div","RI","501-3,300",2985,1141,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1592020&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592020",3.29
"RI1592021","Pawtucket Water Supply Board Veolia-Na","RI","10,001-100,000",98130,23559,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1592021&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592021",12.38
"RI1592022","Portsmouth Water & Fire District","RI","10,001-100,000",17090,6864,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1592022&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592022",14.76
"RI1592023","Prudence Island Water District","RI","501-3,300",1500,328,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1592023&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592023",0.56
"RI1592024","Providence-City Of","RI",">100,000",333142,80386,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1592024&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1592024",65.82
"RI1615610","East Providence-City Of","RI","10,001-100,000",47618,15267,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615610&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615610",13.4
"RI1615614","Slatersville Public Supply","RI","3,301-10,000",3403,533,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615614&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615614",1.1
"RI1615616","Smithfield Water Supply Board","RI","3,301-10,000",9460,1689,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615616&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615616",8.07
"RI1615619","Stone Bridge Fire District","RI","501-3,300",2607,1043,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615619&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615619",3.04
"RI1615623","South Kingstown-South Shore","RI","3,301-10,000",6170,2577,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615623&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615623",6.96
"RI1615624","Veolia Water Wakefield Rhode Island Inc","RI","10,001-100,000",22347,8939,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615624&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615624",30.21
"RI1615626","Touisset Point Water Trust","RI","<=500",225,81,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1615626&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615626",0.07
"RI1615627","Warwick-City Of","RI","10,001-100,000",73289,27044,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1615627&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1615627",24.64
"RI1647511","Quonochontaug East Beach Water Associati","RI","<=500",300,125,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1647511&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647511",0.47
"RI1647512","Central Beach Fire District","RI","<=500",470,184,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1647512&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647512",0.11
"RI1647515","Bristol County Water Authority","RI","10,001-100,000",49000,15692,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1647515&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647515",19.86
"RI1647516","Eleanor Slater Hospital Zambarano Unit","RI","501-3,300",540,23,"Institution","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1647516&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647516",0.22
"RI1647529","Shannock Water District","RI","<=500",75,63,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1647529&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647529",0.13
"RI1647530","Cumberland, Town Of","RI","10,001-100,000",21235,8558,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1647530&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1647530",17.89
"RI1858410","Greenville Water District","RI","3,301-10,000",9500,3431,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858410&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858410",6.95
"RI1858411","Clear River Electric And Water District","RI","3,301-10,000",6000,2539,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858411&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858411",2.6
"RI1858419","Jamestown Water Department","RI","3,301-10,000",3348,1573,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858419&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858419",4.38
"RI1858421","Kingston Water District","RI","3,301-10,000",3968,1092,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858421&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858421",3.46
"RI1858422","University Of Rhode Island","RI","10,001-100,000",19354,156,"School","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858422&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858422",1
"RI1858423","Lincoln Water Commission","RI","10,001-100,000",21664,6551,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858423&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858423",18.66
"RI1858428","Narragansett Water System-Point Judith","RI","3,301-10,000",8210,3512,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858428&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858428",4.82
"RI1858429","Narragansett Water Dept-North End","RI","3,301-10,000",4432,1894,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858429&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858429",6.95
"RI1858430","Block Island Water Company","RI","3,301-10,000",9999,329,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=RI1858430&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858430",0.82
"RI1858435","Foster Senior Housing Inc.","RI","<=500",31,4,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=RI1858435&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=RI1858435",0.04
